"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","p_11","p_12","p_13","p_14","p_15","p_16","p_17","p_18","p_19","p_20","surplus"
1,20,1,3,0.229260952389074,0.65,0.58,0.87,0.97,0.63,1.06,0.78,0.61,0.83,0.58,0.63,0.58,0.71,0.58,1.03,1.18,0.58,0.58,0.7,0.58,0.757142624657015
2,20,1,3,0.238983846840853,0.68,0.59,0.8,1.06,0.58,1,0.88,0.58,0.58,0.58,1.2,0.95,1.14,0.87,0.58,0.58,0.88,0.79,0.58,0.58,0.747544442277461
3,20,1,3,0.237521840703703,0.65,0.62,0.64,0.62,1.02,0.95,0.62,0.83,0.62,0.62,0.62,1.04,0.62,1.03,0.77,0.62,0.62,0.62,0.62,0.62,0.758687224529179
4,20,1,3,0.39046683830878,0.98,0.91,0.96,1.15,0.91,1.17,0.98,1.09,1.25,0.91,0.98,0.91,0.91,1.08,1,0.91,0.91,0.91,0.91,0.91,0.821092287114047
5,20,1,3,0.247286324630327,0.8,0.78,0.76,0.82,0.72,0.66,0.77,0.87,0.66,0.66,0.66,0.97,0.66,0.7,0.94,0.66,0.66,0.66,0.77,0.66,0.743356595219845
6,20,1,3,0.269254867349165,0.79,0.84,0.94,0.73,0.94,0.93,0.82,0.68,0.68,0.81,1.03,0.8,0.68,0.91,0.68,0.77,0.68,0.69,0.68,0.68,0.795640653924067
7,20,1,3,0.32775735155968,0.79,0.81,0.9,0.87,0.96,0.79,0.95,0.79,0.95,0.79,0.94,0.79,0.79,0.86,0.79,0.79,0.99,0.79,0.79,0.79,0.808072736228936
8,20,1,3,0.440491226901879,1.01,0.99,1.15,0.99,0.99,1.26,1.14,0.99,1.23,1.41,0.99,0.99,0.99,0.99,1.11,1.26,0.99,0.99,1.09,0.99,0.865194908681242
9,20,1,3,0.342070685752825,0.83,0.83,1.14,0.83,0.83,1.12,1.03,1.28,0.83,1.13,0.83,1,0.83,1.24,0.88,0.83,0.83,1.1,0.83,0.83,0.78887456781138
10,20,1,3,0.493889492843546,1.23,1.14,1.05,1.05,1.08,1.05,1.05,1.18,1.37,1.25,1.39,1.05,1.05,1.29,1.05,1.05,1.05,1.05,1.05,1.05,0.884906333124957
11,20,1,3,0.383470468735569,0.9,1.14,0.86,1.23,1.09,1,0.86,0.86,1.24,0.86,1.01,0.9,0.86,0.86,0.86,1.26,1.02,1.17,0.86,0.86,0.85773351162515
12,20,1,3,0.535899339587739,1.11,1.1,1.1,1.1,1.3,1.2,1.1,1.1,1.26,1.1,1.14,1.51,1.11,1.1,1.1,1.1,1.1,1.13,1.1,1.1,0.926233105390656
13,20,1,3,0.249105452915137,0.77,0.83,0.71,0.69,0.63,0.86,0.6,0.73,0.94,1.14,0.6,0.6,1.29,0.77,0.64,1.13,0.6,0.6,0.6,0.6,0.799085330411506
14,20,1,3,0.377571971686358,1.15,0.89,0.86,0.86,1.29,0.86,0.89,1.23,1.24,1.12,0.86,1.19,0.86,1.28,0.86,0.87,1.12,0.89,0.86,0.86,0.803255698350184
15,20,1,3,0.30237377057709,0.74,0.84,0.75,0.96,0.9,0.74,0.88,0.76,0.74,0.74,0.9,0.74,0.93,1.13,0.74,0.85,1.1,0.74,0.74,0.74,0.799395302361287
16,20,1,3,0.692851088324106,1.38,1.38,1.38,1.55,1.38,1.38,1.76,1.43,1.67,1.38,1.64,1.38,1.58,1.38,1.38,1.38,1.38,1.38,1.38,1.38,0.954636785302936
17,20,1,3,0.432736382462643,1.17,0.99,1.04,0.99,1.1,1.34,0.99,0.99,1.33,1.29,0.99,1.08,1.52,0.99,1.2,0.99,0.99,0.99,0.99,0.99,0.858292696289851
18,20,1,3,0.35595143178658,0.82,0.82,0.82,0.84,0.88,1.18,0.82,0.82,0.89,1.13,1.2,0.89,1.37,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.867232352218044
19,20,1,3,0.374635832167316,0.87,1.11,1.16,1.07,0.99,0.86,0.91,0.86,1.03,1.37,1.23,0.86,1,0.86,0.86,0.92,0.86,0.86,0.86,0.86,0.880558042234084
