"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","surplus"
1,10,5,3,0.578842470965946,1.21,1.29,1.5,1.22,1.34,1.21,1.21,1.21,1.21,1.21,1.15400018248402
2,10,5,3,0.537818005327774,1.14,1.27,1.14,1.16,1.14,1.14,1.6,1.14,1.14,1.14,0.858555956456633
3,10,5,3,0.373859683055317,0.9,0.89,1.09,0.83,1,0.98,0.83,0.91,0.83,0.83,0.979914546295023
4,10,5,3,0.450248375644201,1.07,0.86,1.28,1.22,1.14,1.07,0.98,0.86,0.86,0.86,1.05254035677523
5,10,5,3,0.339791955259854,0.88,0.83,0.83,1.14,1.04,0.83,0.95,0.83,0.85,0.83,0.871954728784649
6,10,5,3,0.794992785500242,1.48,1.43,1.43,1.49,1.43,1.43,1.43,1.54,1.43,1.43,1.15787976135355
7,10,5,3,1.00169495585002,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.12733765478309
8,10,5,3,0.458559643725737,0.89,1.19,1.39,1.12,0.94,0.89,1.33,0.89,0.89,0.89,1.00665248415112
9,10,5,3,0.176661015564306,0.5,0.71,0.92,1.17,0.6,0.5,0.8,1.04,0.55,0.5,0.621785820947988
10,10,5,3,0.383128887808093,0.95,0.95,1.02,1.18,0.97,0.95,0.97,0.95,0.95,0.95,0.77246387262357
11,10,5,3,0.825830508630052,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.03994833597585
12,10,5,3,0.265401811912201,0.85,0.72,0.95,0.66,0.66,0.66,0.66,1,0.66,0.66,0.806122815337834
13,10,5,3,0.435375345068732,0.9,0.9,1.17,0.9,0.9,0.9,1.12,0.9,1.51,0.9,0.930475970576967
14,10,5,3,0.26845433751437,0.89,0.79,0.77,0.7,1.14,0.8,0.7,1.05,0.7,0.7,0.84287734578259
15,10,5,3,0.245116071658556,0.79,0.71,0.6,0.8,1.2,0.63,0.6,1.19,0.6,0.6,0.803504256802868
16,10,5,3,0.166934330301592,0.63,0.54,0.86,0.56,0.53,0.69,1.04,0.55,0.53,0.53,0.604784825550359
17,10,5,3,0.46356836836866,0.99,0.99,0.99,1.26,1.45,0.99,0.99,0.99,0.99,0.99,0.986491845731057
18,10,5,3,0.637860245739574,1.36,1.36,1.36,1.68,1.36,1.36,1.74,1.65,1.36,1.36,0.835731636475277
19,10,5,3,0.273136537903542,0.96,0.78,1.18,0.75,0.87,1.08,0.9,0.75,0.75,0.75,0.679202132977506
20,10,5,3,0.265723361958872,0.73,0.71,1,0.71,0.76,0.91,1.01,0.71,0.71,0.71,0.788550615842866
21,10,5,3,0.519147695345957,1.04,1.04,1.18,1.51,1.05,1.04,1.23,1.04,1.04,1.08,1.09215292780497
22,10,5,3,0.938020193022106,1.79,1.79,1.79,1.79,1.86,1.79,1.79,1.79,1.79,1.79,1.11575015982264
23,10,5,3,0.380365976816275,1.03,0.9,0.88,1.01,0.95,0.88,1.34,0.88,0.89,0.88,1.01729637236907
24,10,5,3,0.67436524373991,1.41,1.53,1.46,1.41,1.41,1.41,1.41,1.51,1.41,1.41,0.960879781032772
25,10,5,3,0.267644715041758,0.77,1.17,1.03,0.77,0.87,1.17,0.77,0.87,0.78,0.77,0.69546450031945
26,10,5,3,1.26350704756662,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,1.26978805344655
27,10,5,3,0.32546029126295,1.01,1.03,0.97,0.91,0.91,1.17,0.91,0.91,0.91,0.91,0.745236264441263
28,10,5,3,0.804846813704986,1.34,1.34,1.34,1.34,1.34,1.34,1.64,1.34,1.34,1.34,1.22712915134964
29,10,5,3,0.340691991608868,0.83,0.9,0.79,0.89,0.79,0.79,1.29,0.79,0.85,0.79,0.96785894377881
30,10,5,3,0.286151443457758,0.83,0.8,0.8,0.8,0.87,1.15,0.85,0.8,0.8,0.8,0.814101363514941
31,10,5,3,0.440708062465345,1.13,1,1.17,1.1,1,1.02,1,1,1,1,0.840875307310062
32,10,5,3,0.268960057017551,0.84,0.66,1.09,0.66,0.98,0.92,0.79,0.66,0.66,0.66,0.766149992856622
33,10,5,3,0.171384480632718,0.72,0.53,0.78,0.97,0.5,0.84,0.5,0.7,0.64,0.5,0.593223825326359
34,10,5,3,0.438786783571511,1.04,1.05,1.24,1.04,1.48,1.04,1.04,1.04,1.04,1.04,0.838306561531884
35,10,5,3,0.599819396230894,1.17,1.16,1.16,1.16,1.38,1.16,1.16,1.17,1.16,1.16,1.14894430397004
36,10,5,3,0.227252648897491,0.73,0.74,0.61,0.86,0.84,0.68,0.61,0.61,0.61,0.61,0.748614865478204
37,10,5,3,0.455931521331834,1.07,0.99,0.99,1.08,0.99,0.99,1.42,0.99,0.99,0.99,0.902214866593204
38,10,5,3,0.341248313659453,0.82,0.91,0.8,0.8,0.8,1,1.24,1.15,0.8,0.8,0.794575155045763
39,10,5,3,0.200937252096639,0.92,0.69,0.86,1.16,0.58,0.97,0.71,0.58,0.72,0.58,0.615355694173498
40,10,5,3,0.313054147257897,0.9,0.8,1,0.8,0.9,0.8,0.8,0.8,0.84,0.8,0.780152907421488
41,10,5,3,0.529464975382773,1.18,1.18,1.18,1.18,1.42,1.18,1.18,1.18,1.18,1.18,0.91814960260229
42,10,5,3,0.348363015027594,0.97,0.95,1.11,1.11,1.07,0.95,0.98,0.95,0.95,0.95,0.712373975801999
43,10,5,3,0.312400182290566,0.95,0.72,1.06,1.18,0.72,1.04,0.97,0.79,0.72,0.72,0.899562081362819
44,10,5,3,0.442035349945103,1,1,1.26,1.01,1.21,1,1,1,1,1,0.919933568562722
45,10,5,3,0.220797373075558,0.85,0.62,0.73,0.95,1.06,0.62,0.62,0.62,0.79,0.62,0.721687961745593
46,10,5,3,0.662141517012642,1.24,1.24,1.54,1.24,1.24,1.24,1.45,1.4,1.24,1.24,1.16163030178094
47,10,5,3,1.04145807187712,1.86,1.86,1.88,2.02,1.86,1.86,1.86,1.86,1.86,1.86,1.24387948087308
48,10,5,3,0.632606335454138,1.32,1.32,1.57,1.32,1.37,1.32,1.32,1.39,1.32,1.32,1.09853790025722
49,10,5,3,0.409680001930368,1.04,1.02,1.02,1.02,1.1,1.02,1.02,1.02,1.02,1.02,0.764817535313767
50,10,5,3,0.233814087232659,0.7,0.79,0.7,0.89,0.71,0.91,0.74,0.7,0.7,0.7,0.654487627599147
51,10,5,3,0.45204358559927,1.12,1.09,1.09,1.09,1.44,1.09,1.09,1.09,1.09,1.09,0.784917882433832
