"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","surplus"
1,5,1,3,0.283513172554193,0.734659874923884,1.18947284691429,0.804654791162248,0.702762496120028,0.551243923555084,0.86416877034691
2,5,1,3,0.0988758366633124,0.912750865868345,0.65421193065519,0.485682776432674,1.03210395299112,0.411505601129343,0.310926122391105
3,5,1,3,0.10499448531227,0.686273526054111,1.0747170851124,0.758105457499558,0.635040377238195,0.4264408047365,0.304470497086178
4,5,1,3,0.0907961006015523,0.713531543526023,0.548830908244193,0.848387647409949,0.628395047304221,0.42284371842583,0.31067418315301
5,5,1,3,0.107826396749078,0.639661774399307,0.947712511554034,0.82075208650155,0.614072054391785,0.417614804932823,0.395633581562525
6,5,1,3,0.195224287987307,0.755553345959053,0.710743736066728,0.695828290094307,0.735524519425775,0.512508751645462,0.552343391633455
7,5,1,3,0.180693318075592,0.993780059408672,0.563658947484996,1.25403814875054,0.926304623890323,0.526554788075352,0.52876326561213
8,5,1,3,0.318417750044906,0.741338097574739,1.10267216415549,1.38918418109401,0.745298961737753,0.610083578386847,0.796279338113079
9,5,1,3,0.290862035699476,0.749256239380368,0.571163619003084,1.10447236144849,0.576688469804515,0.484129792009301,1.12831921888327
10,5,1,3,0.2439988371893,1.01240758971193,0.831283245016811,0.512272146800681,0.966146660438598,0.767726916534362,0.709949371724481
11,5,1,3,0.114314106949341,1.10867290538221,0.776319318381056,0.630141038276623,1.13945257201991,0.491655975781893,0.285695950299789
12,5,1,3,0.120491611718569,0.843472990972598,0.875275656179488,0.691439723486996,0.660379106873012,0.477632209367238,0.328800014243861
13,5,1,3,0.123870858738217,0.933926758491351,0.734487484118927,0.669833525678646,0.59461281270406,0.385735084880918,0.510131556827135
14,5,1,3,0.135430187809837,0.691391430782785,0.585732406401041,0.508726587010384,0.766557905173106,0.427655314429763,0.489298004311547
15,5,1,3,0.146177388696396,0.957314887660985,0.528836994157196,0.856793932965472,0.435440568885267,0.396397418095722,0.610285691864258
