"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","p_11","p_12","p_13","p_14","p_15","p_16","p_17","p_18","p_19","p_20","surplus"
1,20,5,3,0.684621776470107,1.16,1.28,1.11,1.11,1.11,1.29,1.11,1.22,1.47,1.62,1.11,1.11,1.53,1.11,1.11,1.5,1.17,1.11,1.18,1.11,1.33860939202831
2,20,5,3,0.823173514402869,1.46,1.46,1.46,1.46,1.51,1.68,1.46,1.46,1.46,1.46,1.46,1.81,1.93,1.52,1.46,1.46,1.46,1.46,1.46,1.46,1.19387757802149
3,20,5,3,0.313318349260208,0.75,0.93,0.87,0.81,0.77,0.73,0.73,0.95,1.11,0.73,0.73,0.83,0.73,0.8,0.85,1.08,0.73,0.73,0.73,0.73,0.851924413316419
4,20,5,3,0.790685178247784,1.51,1.51,1.51,1.53,1.66,1.51,1.51,1.51,1.51,1.65,1.71,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.07111496232161
5,20,5,3,0.315732716946761,0.76,0.7,0.67,0.89,1.08,1.07,0.93,1.05,0.67,0.88,1.31,0.99,0.67,0.77,0.85,0.79,0.67,0.67,0.67,0.67,0.920063306612455
6,20,5,3,0.303989529503148,0.8,0.81,0.97,1.05,0.94,0.73,0.91,0.73,0.88,1,0.73,0.73,0.73,1.18,0.95,0.73,0.73,0.73,0.82,0.73,0.833707347257871
7,20,5,3,0.361862843075519,0.89,0.85,1.04,1.14,1.04,0.75,0.75,1.05,0.75,1.12,1.03,1,0.75,0.81,1.01,0.75,0.75,0.99,0.75,0.75,1.02217024796099
8,20,5,3,0.574357248479153,1.31,1.17,1.17,1.17,1.17,1.17,1.35,1.17,1.56,1.17,1.3,1.17,1.58,1.17,1.63,1.49,1.17,1.17,1.17,1.17,0.944769350879462
9,20,5,3,0.764898342012113,1.45,1.48,1.44,1.46,1.73,1.44,1.44,1.69,1.44,1.51,1.6,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.15785296759141
10,20,5,3,0.288134156773011,0.77,0.72,0.78,0.92,0.66,0.77,0.83,1.07,0.66,0.66,0.66,0.89,0.66,0.66,1.22,0.84,0.66,0.8,0.66,0.66,0.86292303474131
11,20,5,3,0.537769354260223,1.04,1.04,1.13,1.04,1.2,1.38,1.24,1.06,1.22,1.04,1.04,1.04,1.25,1.04,1.08,1.04,1.14,1.04,1.04,1.04,1.10517473998332
12,20,5,3,0.585109008867048,1.06,1.09,1.15,1.06,1.43,1.06,1.06,1.06,1.06,1.11,1.2,1.06,1.52,1.34,1.06,1.44,1.06,1.06,1.06,1.06,1.20445031448386
13,20,5,3,1.71689125419735,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.51,2.62,2.55,2.51,2.51,2.51,2.51,2.51,2.71,2.51,2.51,2.51,2.51,1.48800360382281
14,20,5,3,0.768197018244574,1.35,1.48,1.43,1.35,1.35,1.35,1.35,1.41,1.65,1.41,1.81,1.54,1.64,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.29768322188347
15,20,5,3,0.481223417562938,1.1,1.12,1.05,1.14,1.05,1.13,1.28,1.05,1.14,1.05,1.05,1.05,1.05,1.05,1.05,1.18,1.24,1.05,1.05,1.05,0.954227667755028
16,20,5,3,0.653881553998266,1.14,1.14,1.14,1.54,1.45,1.18,1.17,1.16,1.5,1.14,1.14,1.14,1.14,1.55,1.14,1.14,1.53,1.25,1.14,1.14,1.23907109302071
