"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","surplus"
1,10,1,3,0.20907668060664,0.67,1.01,0.69,0.83,0.94,1.24,0.67,0.72,0.67,0.67,0.596792154811501
2,10,1,3,0.21640258733091,0.74,1.15,0.67,1.1,0.63,0.98,0.63,1.11,0.73,0.63,0.591083291690855
3,10,1,3,0.277639565629092,0.84,0.84,0.88,1.04,0.84,1.33,0.84,0.84,0.84,0.84,0.636845142228704
4,10,1,3,0.17603049086579,0.64,0.61,0.99,0.6,0.82,0.54,0.66,0.68,0.54,0.54,0.588402699491773
5,10,1,3,0.493412061704038,1.11,1.18,1.13,1.11,1.2,1.11,1.11,1.11,1.11,1.11,0.817317086779646
6,10,1,3,0.193374808507061,0.88,0.62,0.62,0.83,0.95,1.1,0.62,0.62,0.62,0.62,0.594735680125953
7,10,1,3,0.236208673261545,0.99,1.12,0.67,1.01,0.92,0.65,0.91,0.74,0.65,0.65,0.66705326448414
8,10,1,3,0.195901735530166,0.85,0.77,0.78,0.6,0.56,0.56,0.82,0.56,0.56,0.56,0.645175760299257
9,10,1,3,0.216922492580322,0.72,1.01,0.65,0.65,0.86,0.78,0.99,0.65,0.65,0.65,0.609842073203322
10,10,1,3,0.192961573158067,0.75,0.7,1.14,0.61,0.79,0.61,1.07,0.78,0.61,0.61,0.595141770575484
11,10,1,3,0.192092980991438,0.59,0.58,1.01,0.58,0.96,0.87,0.61,0.58,0.61,0.58,0.626981840944756
12,10,1,3,0.33880051629239,0.98,0.95,0.94,0.94,0.94,1.28,0.94,0.94,0.94,0.94,0.673911170776657
13,10,1,3,0.2164108849439,0.76,0.61,0.96,1.08,0.69,0.61,1.28,0.95,0.61,0.61,0.603562169329786
14,10,1,3,0.287630014593892,0.74,1.01,0.74,0.74,1.23,1.33,0.99,0.9,0.74,0.74,0.65302684775499
15,10,1,3,0.187583897003595,0.85,0.66,0.67,0.97,0.57,0.57,0.57,0.87,0.78,0.57,0.616227257622505
16,10,1,3,0.179080016681056,0.62,0.62,0.59,0.77,0.59,0.66,0.59,1.2,0.59,0.59,0.602209138210808
17,10,1,3,0.25092493132839,0.76,0.87,0.77,0.76,1.11,0.76,0.76,1.04,0.76,0.76,0.628439266839713
18,10,1,3,0.20041510853749,0.7,0.93,0.58,0.85,0.8,0.58,1.02,0.75,0.58,0.58,0.600996107776749
19,10,1,3,0.174555508201182,0.88,0.59,0.8,0.52,0.51,0.51,0.8,1,0.51,0.51,0.607638558548021
20,10,1,3,0.334012160782378,0.83,0.83,1.12,0.83,1.32,0.96,0.87,0.83,0.83,0.83,0.7313866264504
21,10,1,3,0.404234700649392,1.02,1.36,1.16,1.02,1.34,1.21,1.02,1.08,1.02,1.02,0.714559748381498
22,10,1,3,0.393637094133162,1.15,0.99,0.99,1.13,0.99,0.99,1.34,0.99,0.99,0.99,0.714043116453125
23,10,1,3,0.581495995592162,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,0.804672327904206
24,10,1,3,0.412738908136947,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.34,1.11,1.11,0.719270901073884
25,10,1,3,0.187074220122813,0.8,0.54,0.54,1.13,0.88,0.54,1.02,0.54,0.8,0.54,0.609866046844602
26,10,1,3,0.298682487026497,0.82,0.82,0.82,1.02,1.35,0.82,0.82,0.82,0.92,0.82,0.670280452722004
27,10,1,3,0.223448439862906,0.92,0.79,0.9,0.74,0.84,0.68,0.66,0.66,0.66,0.66,0.676360873862247
28,10,1,3,0.387182542486071,1.09,1.03,1.08,1.03,1.03,1.03,1.18,1.03,1.03,1.03,0.706642360087656
29,10,1,3,0.200199574142553,0.63,0.7,0.56,0.55,0.55,0.55,0.55,1.07,0.79,0.55,0.689471985551122
30,10,1,3,0.252028935108263,1.05,0.87,0.69,0.92,0.87,0.69,1.25,0.69,0.9,0.69,0.628596619504733
31,10,1,3,0.222666915127249,0.8,0.6,0.65,1.09,0.6,0.91,0.88,1.09,0.6,0.6,0.691001853982378
32,10,1,3,0.317573860186218,0.83,0.93,0.84,0.83,0.97,0.83,1.33,0.83,0.83,0.83,0.716748290867286
33,10,1,3,0.222698027272912,0.74,0.71,1.07,0.95,0.71,0.88,0.71,0.71,0.71,0.71,0.610422528621969
34,10,1,3,0.206430969140849,0.59,0.96,0.67,1,0.96,0.59,0.74,0.68,0.63,0.59,0.654819203251166
35,10,1,3,0.274169518887246,0.78,0.69,0.69,0.91,0.79,0.69,0.69,1.24,0.69,0.69,0.742844872004751
36,10,1,3,0.355371001718739,0.84,0.84,1.05,0.89,0.84,0.84,0.84,1.38,0.84,0.84,0.736394731518997
37,10,1,3,0.275004282568461,0.88,1.07,0.89,0.76,1.06,0.88,0.76,0.76,0.76,0.76,0.685519416170518
38,10,1,3,0.425969786006681,1.08,1.18,1.38,1.08,1.08,1.21,1.1,1.24,1.08,1.08,0.696032387464929
39,10,1,3,0.292960907470849,1.03,1.15,0.99,0.78,1.13,0.78,0.98,0.78,0.9,0.78,0.662945333940053
40,10,1,3,0.238616209582008,0.7,0.88,0.7,0.7,0.7,1.16,0.7,0.95,0.7,0.7,0.641112123840809
41,10,1,3,0.265636492372175,0.75,0.73,1.09,1.03,0.73,0.73,0.88,0.73,0.73,0.73,0.65862653390219
42,10,1,3,0.222388503711101,0.76,0.89,0.63,0.85,0.67,1.08,0.86,0.63,0.65,0.63,0.640286453503283
43,10,1,3,0.201992929705463,0.72,0.88,0.57,0.85,0.57,0.83,0.7,0.57,0.57,0.57,0.64042187296126
44,10,1,3,0.362734998499481,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,0.687086375213985
45,10,1,3,0.237974154314385,0.77,1.04,0.95,0.78,1.2,0.76,0.85,0.82,0.76,0.76,0.590735610038115
46,10,1,3,0.326336545930895,0.94,0.93,1.1,0.93,0.93,0.93,0.93,1.08,0.93,0.93,0.655863207767266
47,10,1,3,0.17487063598425,0.75,0.63,0.55,0.69,0.61,1.01,0.55,0.55,0.63,0.55,0.596494056327534
48,10,1,3,0.253552904957871,0.76,0.9,0.76,0.76,0.76,1.27,0.95,0.76,0.76,0.76,0.646611479292738
49,10,1,3,0.194534931331494,0.9,0.97,1.11,0.75,0.61,0.9,1,0.61,0.72,0.61,0.570967730470706
50,10,1,3,0.164969212758701,0.62,0.68,1,0.97,0.86,0.55,0.79,0.69,0.55,0.6,0.572253264724219
51,10,1,3,0.201396658051537,0.69,0.64,0.64,0.94,0.79,0.72,0.64,0.69,0.64,0.64,0.642746675759336
52,10,1,3,0.312355816047188,1,0.9,0.99,1.3,0.9,1.13,0.9,0.9,0.9,0.9,0.670495083632123
53,10,1,3,0.609320072525659,1.4,1.32,1.32,1.32,1.56,1.32,1.32,1.51,1.72,1.32,0.800974251001804
54,10,1,3,0.320225392538159,0.86,0.86,0.9,1.29,0.86,0.86,1.15,0.86,0.86,0.86,0.665543109494804
55,10,1,3,0.17706135474133,0.56,0.83,0.53,0.53,0.78,0.53,0.79,1.19,0.53,0.53,0.617353878065287
56,10,1,3,0.18383172590552,0.63,0.64,0.75,0.63,0.6,0.57,0.57,0.67,0.57,0.57,0.653523156928388
