"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","p_11","p_12","p_13","p_14","p_15","p_16","p_17","p_18","p_19","p_20","surplus"
1,20,1,3,0.359864301570255,0.84,0.79,0.95,0.79,0.8,0.94,1.2,0.79,0.95,1.16,1.07,0.79,0.79,0.94,0.81,0.9,0.79,0.79,0.79,0.79,0.977737715526871
2,20,1,3,0.586789431700907,1.16,1.13,1.13,1.13,1.13,1.38,1.13,1.26,1.17,1.13,1.13,1.4,1.29,1.13,1.59,1.13,1.13,1.13,1.13,1.13,1.05863098727891
3,20,1,3,0.336515172598913,0.77,0.78,0.91,0.79,0.79,0.77,0.77,1.23,0.88,0.84,0.96,0.77,1.29,0.77,0.83,0.77,0.77,0.77,0.77,0.77,0.928474943941879
4,20,1,3,0.675978365129651,1.36,1.3,1.34,1.58,1.3,1.3,1.53,1.3,1.3,1.3,1.44,1.3,1.3,1.3,1.61,1.67,1.3,1.3,1.3,1.3,1.01707333141899
5,20,1,3,0.759879553172693,1.47,1.47,1.5,1.47,1.51,1.58,1.47,1.47,1.47,1.47,1.47,1.47,1.57,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.07649786372369
6,20,1,3,0.315566382970354,0.75,0.81,0.75,0.85,0.75,0.93,0.91,0.77,0.75,0.9,1.3,0.75,0.82,0.75,0.92,0.75,0.75,0.81,0.75,0.75,0.928708233059504
7,20,1,3,0.326509435489355,0.99,0.72,0.89,0.85,0.72,0.72,0.72,0.74,0.72,0.72,1.23,0.72,1.24,0.72,1.09,1.21,0.72,0.72,0.73,0.72,0.902157154929777
8,20,1,3,0.944986459036887,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.73,2,1.7,1.7,1.7,1.72,1.7,1.7,1.7,1.7,1.7,1.1192110442259
9,20,1,3,0.843574301872449,1.56,1.56,1.56,1.56,1.64,1.56,1.56,1.56,1.66,1.56,1.56,1.88,1.56,1.66,1.56,1.56,1.56,1.56,1.56,1.56,1.08682776858643
10,20,1,3,0.293574223362752,0.71,0.71,1.03,0.71,0.89,1.11,1.02,0.93,0.71,0.76,0.85,0.71,0.91,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.88708524627798
11,20,1,3,0.749603830354957,1.43,1.43,1.47,1.43,1.43,1.43,1.43,1.58,1.5,1.43,1.43,1.43,1.43,1.63,1.83,1.43,1.43,1.43,1.43,1.43,1.02974717445761
12,20,1,3,0.262866256330615,0.81,0.73,0.72,0.98,0.63,0.93,0.61,0.73,0.61,0.75,0.61,0.73,0.61,1.09,1.01,0.97,0.61,0.61,0.61,0.68,0.835161022558794
13,20,1,3,0.431259495134516,0.87,0.87,1.11,0.96,1.25,0.87,1.16,0.87,0.87,1.44,1.2,0.87,1.09,0.87,1.36,0.87,1.23,1.06,0.88,0.87,0.951267900417374
14,20,1,3,0.451068469816987,0.99,0.96,1.03,1.08,0.96,0.96,0.97,0.96,1.13,0.96,0.96,0.96,0.96,1.47,1.55,1.05,0.96,0.96,0.96,0.96,0.945762695457649
15,20,1,3,0.647019136656703,1.24,1.24,1.24,1.29,1.24,1.24,1.24,1.56,1.24,1.24,1.24,1.24,1.24,1.61,1.24,1.24,1.34,1.24,1.24,1.24,1.09800931056485
16,20,1,3,0.278922181707931,0.77,0.77,0.64,1.11,0.64,1.08,1.04,0.72,0.67,0.99,0.68,0.84,0.89,0.64,1.12,1.02,0.64,0.64,0.64,0.65,0.845190550327415
17,20,1,3,0.385440093415025,0.86,0.87,1.12,0.86,0.86,0.9,1.28,0.86,0.92,0.86,1.2,0.86,0.86,1.38,0.86,0.88,1.18,1,0.86,0.86,0.906991504177125
18,20,1,3,0.409490001212825,0.91,0.91,0.91,1.01,1.18,0.98,0.93,0.91,0.91,0.91,0.91,0.91,0.98,0.91,0.91,0.91,0.91,1.12,0.91,0.91,0.983483225319274
19,20,1,3,0.772326013286847,1.49,1.5,1.49,1.49,1.49,1.49,1.57,1.49,1.49,1.49,1.49,1.76,1.49,1.49,1.54,1.49,1.49,1.49,1.49,1.49,1.07643769827525
20,20,1,3,0.409766195659537,0.9,0.9,0.9,1,1.11,0.9,1.27,0.98,0.9,1.18,0.96,0.9,1.19,0.9,0.9,0.9,0.99,0.9,0.9,0.9,0.983374236676603
21,20,1,3,0.347416980801661,0.83,0.96,1.02,0.93,0.71,0.85,0.92,1.26,0.71,0.89,0.71,0.77,0.93,0.76,1.16,0.94,0.71,0.71,0.71,0.71,0.941873555817718
22,20,1,3,0.648374805696687,1.26,1.26,1.26,1.26,1.26,1.26,1.39,1.26,1.35,1.26,1.53,1.26,1.29,1.67,1.72,1.26,1.26,1.26,1.26,1.26,0.998577455216199
23,20,1,3,0.654338286340607,1.34,1.34,1.41,1.34,1.4,1.34,1.34,1.34,1.34,1.34,1.56,1.68,1.34,1.4,1.34,1.34,1.34,1.34,1.34,1.34,1.01458274921628
24,20,1,3,0.396566526850635,0.85,0.85,0.87,1.03,0.85,1.33,0.85,1.19,0.97,1.13,0.85,0.85,0.97,0.85,0.96,1.26,0.88,0.85,0.85,0.85,0.963024575686375
25,20,1,3,0.516143482222386,1.09,1.14,1.23,1.13,1.19,1.09,1.46,1.17,1.09,1.58,1.09,1.09,1.12,1.09,1.4,1.22,1.09,1.09,1.09,1.09,0.934851525686095
26,20,1,3,0.786933538326913,1.55,1.64,1.55,1.55,1.55,1.55,1.55,1.55,1.67,1.9,1.95,1.55,1.85,1.55,1.55,1.56,1.55,1.55,1.55,1.55,1.00307514725924
27,20,1,3,0.620252875322097,1.26,1.26,1.26,1.27,1.26,1.44,1.26,1.26,1.26,1.41,1.26,1.39,1.26,1.26,1.26,1.26,1.26,1.39,1.26,1.26,1.02130449759159
28,20,1,3,0.352397539108676,0.76,0.99,1.04,0.91,0.82,0.88,0.76,0.85,0.76,0.77,1.21,0.76,1.22,1.02,0.76,0.76,0.76,0.96,0.76,0.78,0.944177122815725
29,20,1,3,0.511467418428744,1.08,1.08,1.08,1.08,1.08,1.31,1.08,1.08,1.44,1.22,1.08,1.08,1.08,1.08,1.08,1.24,1.08,1.08,1.08,1.08,0.95386773924972
30,20,1,3,0.851440874036813,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.77,1.5,1.47,1.47,1.47,1.5,1.47,1.52,1.47,1.67,1.47,1.47,1.47,1.16312005940714
31,20,1,3,0.732548828613636,1.31,1.31,1.51,1.31,1.31,1.43,1.5,1.31,1.61,1.31,1.55,1.31,1.31,1.31,1.31,1.54,1.36,1.41,1.31,1.31,1.07985655399863
32,20,1,3,0.42272053083151,0.99,0.99,1.05,0.99,0.99,1.05,0.99,0.99,1.05,1.03,0.99,0.99,1.34,0.99,0.99,0.99,1.04,0.99,0.99,0.99,0.995544490896987
33,20,1,3,0.263357247804483,0.85,0.67,0.66,0.86,1.09,0.66,0.66,0.81,0.79,0.92,0.66,1.12,1.07,0.66,0.66,0.83,0.69,0.66,0.66,0.66,0.822409955876378
34,20,1,3,0.825411083539389,1.55,1.55,1.55,1.61,1.55,1.55,1.55,1.84,1.9,1.6,1.75,1.55,1.87,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.06309764325909
35,20,1,3,0.684631056339947,1.3,1.3,1.5,1.46,1.3,1.3,1.42,1.3,1.3,1.52,1.3,1.3,1.32,1.3,1.57,1.3,1.3,1.3,1.3,1.3,1.00048038204474
36,20,1,3,0.377389876974039,0.89,0.83,0.98,0.83,0.92,0.83,0.98,0.84,1.21,1.04,0.86,1.34,0.83,1.16,0.83,0.83,0.83,0.87,0.83,0.83,0.980315706958039
37,20,1,3,0.764683140846144,1.44,1.44,1.44,1.46,1.44,1.44,1.6,1.48,1.44,1.45,1.44,1.44,1.8,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.03441491555192
38,20,1,3,0.40433991194985,0.91,0.9,0.9,1.26,1.07,0.9,0.98,1.05,1.35,0.95,1.36,1.33,0.9,1.05,0.9,0.9,0.9,0.9,0.9,0.9,0.933267578633296
39,20,1,3,0.33190525401668,0.73,1,0.7,0.88,0.7,1.01,0.75,1.01,0.7,0.7,1.31,0.84,1.09,0.7,0.92,0.7,0.85,0.71,0.7,0.7,0.956473688946639
40,20,1,3,0.464213502937976,1.03,1.23,1.22,0.98,1.07,1.24,0.98,0.98,0.98,1.14,0.98,1.07,1.32,0.98,0.98,1.21,0.98,0.98,0.98,0.98,0.984242655321348
41,20,1,3,0.897838931544502,1.69,1.69,1.69,1.82,1.69,1.69,1.69,1.87,1.69,1.69,1.69,1.84,1.69,1.69,1.69,1.69,1.76,1.69,1.69,1.69,1.06129994005244
42,20,1,3,0.239337453663728,0.68,0.72,0.63,0.82,0.63,1.07,0.84,1.18,0.81,0.59,0.68,1.16,0.75,1.16,0.59,0.7,0.63,0.59,0.69,0.59,0.779479960279129
43,20,1,3,0.533804361776362,1.13,1.1,1.19,1.26,1.1,1.15,1.14,1.1,1.36,1.56,1.1,1.14,1.13,1.1,1.1,1.1,1.18,1.1,1.1,1.1,0.974556434546909
44,20,1,3,0.630011796626734,1.24,1.42,1.24,1.3,1.34,1.24,1.24,1.24,1.24,1.24,1.58,1.42,1.24,1.72,1.37,1.24,1.24,1.24,1.24,1.24,0.9902792712926
45,20,1,3,0.359256167225862,0.78,0.78,1.02,0.78,0.83,1.07,1.23,0.78,1.08,1.33,1.38,1.06,1.28,0.78,0.78,0.78,0.88,0.78,0.78,0.81,0.950539049758491
46,20,1,3,0.328223536356951,0.83,0.72,0.71,0.71,0.71,0.71,1.06,0.87,1.04,0.71,0.8,0.76,1.16,1.32,0.71,0.71,0.73,0.71,0.8,0.71,0.954923773308308
47,20,1,3,0.299953597207741,0.68,0.81,0.72,1.02,0.68,0.68,1.11,1.26,0.78,0.68,1.11,1.3,0.68,0.68,0.95,1,0.68,0.85,0.68,0.68,0.854815568886112
48,20,1,3,0.326018018702533,0.79,0.78,0.78,1,0.81,1.07,0.78,0.78,1.33,0.78,0.98,0.78,1.07,1.12,0.78,0.92,0.98,0.84,0.78,0.78,0.858844860994304
49,20,1,3,0.350870687727759,0.83,0.89,0.8,0.95,0.77,0.94,0.77,1.05,1.21,0.77,0.87,0.77,0.77,1.39,1.07,0.77,0.77,0.77,0.77,0.79,0.892690076088158
50,20,1,3,0.459147673778134,0.97,1.11,1.04,0.97,1.04,0.97,1.25,0.97,0.97,1.08,1.51,0.97,1.31,1.18,1.48,0.97,1.08,0.97,0.97,0.97,0.916077449033282
51,20,1,3,0.390843342355248,0.91,0.91,1.18,1.23,1.01,0.93,0.91,0.91,1.23,1,1.12,0.91,1.2,0.91,0.91,0.91,0.91,1.04,0.91,0.91,0.916763145691694
52,20,1,3,0.693438863701762,1.31,1.31,1.31,1.37,1.31,1.33,1.43,1.31,1.31,1.31,1.31,1.31,1.31,1.49,1.43,1.31,1.39,1.31,1.31,1.31,1.082863410726
53,20,1,3,0.373819775313855,0.75,0.77,1.08,0.99,0.76,0.75,1.24,0.75,0.75,0.87,1.21,1.14,0.75,0.75,0.88,1.09,0.75,0.75,0.75,0.75,1.04002792052706
54,20,1,3,0.551907917182907,1.18,1.15,1.13,1.16,1.14,1.13,1.14,1.13,1.19,1.13,1.13,1.13,1.13,1.46,1.23,1.13,1.13,1.13,1.13,1.13,0.989949420036975
55,20,1,3,0.415738795410856,1.05,0.93,1.12,1.13,0.95,0.92,0.92,0.92,1.01,1.21,1,1.2,1.41,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.997543344662952
56,20,1,3,0.309938292635766,0.75,0.74,0.89,0.8,0.74,0.81,0.74,0.74,0.74,0.74,1.31,0.74,0.74,0.9,0.79,0.74,0.74,0.74,0.74,0.74,0.920320925877564
57,20,1,3,0.314406171002898,0.81,0.74,0.71,0.99,1.11,1.08,1.18,1.23,0.82,0.71,0.71,0.71,1.06,0.71,0.71,0.72,0.71,0.94,0.91,0.71,0.895378965873761
58,20,1,3,0.561312690573763,1.35,1.32,1.12,1.48,1.15,1.55,1.12,1.12,1.12,1.12,1.35,1.26,1.47,1.53,1.44,1.12,1.27,1.12,1.12,1.12,0.952099197318156
59,20,1,3,0.452705977173008,0.91,0.93,1.21,1.07,1.06,0.91,0.91,1.34,0.91,0.95,1.1,1.06,0.91,0.91,0.97,1.23,0.91,0.91,0.91,0.91,1.024037900863
60,20,1,3,0.343885762148452,0.8,0.8,0.8,0.8,0.95,0.8,0.88,0.93,0.8,0.88,0.84,0.82,0.8,1.33,0.8,0.8,0.8,0.8,0.8,0.8,0.964397653041008
61,20,1,3,0.424442555094214,0.94,0.97,1.05,0.86,0.88,1.18,1.05,0.86,0.86,1.29,1.09,0.86,0.99,0.86,1.28,0.86,0.86,0.86,0.86,0.86,0.974624396579892
62,20,1,3,0.285306236588918,0.96,0.75,0.65,0.7,1.21,0.79,0.65,0.67,1.12,0.65,1.1,1.07,0.7,1.24,0.96,0.65,1.08,0.65,0.65,0.72,0.855883664522947
63,20,1,3,0.413277512992085,0.96,0.86,0.96,0.86,1.11,1.17,1.36,0.86,1.35,0.86,0.86,0.86,1.08,1.03,1.37,0.86,1.19,0.86,0.86,0.86,0.946618936027673
64,20,1,3,0.353821602949584,0.85,0.73,0.86,1.15,1.07,0.85,1.17,1.01,0.73,1.3,0.73,0.84,1.12,0.73,0.95,0.73,0.73,0.86,0.73,0.73,0.982012478002198
65,20,1,3,0.475088657632772,1.09,1.08,1.08,1.34,1.08,1.08,1.25,1.32,1.08,1.22,1.5,1.08,1.08,1.09,1.08,1.08,1.08,1.08,1.08,1.08,0.905825164254023
66,20,1,3,0.848733775068803,1.53,1.53,1.53,1.53,1.53,1.53,1.57,1.53,1.88,1.53,1.53,1.53,1.59,1.53,1.85,1.53,1.53,1.7,1.53,1.53,1.07282025753522
67,20,1,3,0.718951020308016,1.39,1.39,1.39,1.41,1.39,1.74,1.39,1.72,1.39,1.7,1.39,1.47,1.39,1.39,1.55,1.39,1.39,1.43,1.39,1.39,1.01293137185718
68,20,1,3,0.509500779215167,1.07,1.29,1.09,1.07,1.25,1.07,1.25,1.09,1.34,1.07,1.09,1.24,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,0.97821277927728
69,20,1,3,0.67066822321469,1.25,1.25,1.25,1.25,1.45,1.25,1.25,1.36,1.25,1.29,1.25,1.25,1.25,1.45,1.25,1.25,1.25,1.25,1.25,1.25,1.07492732626353
