"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","p_11","p_12","p_13","p_14","p_15","p_16","p_17","p_18","p_19","p_20","surplus"
1,20,5,3,2.28334346396792,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.37,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,1.7278051063564
2,20,5,3,0.999566885766367,1.47,1.47,1.47,1.57,1.47,1.54,1.65,1.84,1.47,1.47,1.65,1.52,1.47,1.47,1.47,1.94,1.47,1.47,1.47,1.47,1.62502835467168
3,20,5,3,1.17818204817731,1.63,1.67,1.63,1.63,1.66,1.63,1.63,1.69,2,1.99,2.18,1.91,1.63,1.63,1.73,2.17,1.63,1.63,1.63,1.63,1.73707063397167
4,20,5,3,1.1750320903783,1.82,1.82,1.82,1.87,1.82,1.82,2.09,1.82,1.82,2.06,2.25,1.98,1.82,1.82,1.82,1.94,1.82,1.82,1.82,1.82,1.57016275458394
5,20,5,3,1.98135549696069,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.92,2.73,2.91,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,2.73,1.7610988022671
6,20,5,3,1.53281628276698,2.15,2.15,2.15,2.19,2.28,2.15,2.15,2.15,2.18,2.15,2.15,2.15,2.15,2.3,2.15,2.15,2.21,2.15,2.15,2.15,1.69170866033756
7,20,5,3,1.16122048327344,1.93,1.93,1.93,1.93,2.05,1.93,1.93,1.93,1.93,2.02,1.93,2.24,1.93,1.93,1.93,1.93,1.94,1.93,1.93,1.93,1.49576932365868
8,20,5,3,1.96930851218535,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.84,3.05,3.01,2.78,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,1.68447808258069
9,20,5,3,0.81593463861545,1.47,1.47,1.47,1.58,1.47,1.47,1.47,1.53,1.5,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.58,1.47,1.47,1.56724001661135
10,20,5,3,0.987877491970267,1.58,1.58,1.83,1.58,1.77,1.58,1.73,1.58,1.81,1.58,1.68,1.76,1.96,1.58,1.59,1.58,1.65,1.58,1.58,1.58,1.48236259546095
11,20,5,3,2.1177724313344,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.04,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,1.77037031895036
12,20,5,3,0.825191960054624,1.31,1.31,1.38,1.31,1.31,1.39,1.5,1.33,1.31,1.31,1.31,1.65,1.31,1.43,1.31,1.31,1.31,1.47,1.31,1.31,1.49635987515297
13,20,5,3,0.821503967595673,1.37,1.5,1.37,1.44,1.64,1.51,1.37,1.47,1.37,1.73,1.64,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.50379391935922
14,20,5,3,2.06475236197964,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,2.99,3,3.05,2.99,2.99,3.14,2.99,3.2,2.99,2.99,2.99,2.99,1.8192733863137
15,20,5,3,1.41153553888186,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.19,2.14,2.15,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,1.67638195804778
16,20,5,3,1.34749041353102,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.22,2.3,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,2.13,1.74516589393093
17,20,5,3,1.67234139143654,2.32,2.38,2.32,2.32,2.44,2.32,2.32,2.46,2.36,2.56,2.32,2.33,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,1.91931071970457
18,20,5,3,1.82417292170942,2.48,2.48,2.53,2.59,2.48,2.48,2.48,2.48,2.48,2.56,2.48,2.74,2.55,2.48,2.52,2.48,2.48,2.48,2.48,2.48,1.80402920088759
19,20,5,3,1.18679708980551,1.69,1.69,1.9,1.79,1.69,1.69,1.78,1.75,1.69,1.69,2.09,1.69,1.69,1.77,1.69,1.7,2.19,1.69,1.69,1.69,1.79583009055645
20,20,5,3,1.18687020006845,1.92,1.92,2.04,1.92,1.92,1.92,1.92,1.92,1.92,1.92,2.27,2.09,1.92,2.15,1.92,1.92,1.92,1.92,1.92,1.92,1.39582408545571
21,20,5,3,1.75090361499944,2.44,2.44,2.56,2.44,2.44,2.44,2.44,2.44,2.44,2.74,2.47,2.67,2.44,2.44,2.44,2.78,2.44,2.44,2.44,2.44,1.68001572841648
22,20,5,3,0.665965796064131,1.12,1.22,1.19,1.12,1.15,1.46,1.42,1.12,1.12,1.21,1.12,1.56,1.2,1.44,1.49,1.12,1.12,1.12,1.12,1.12,1.36698523005333
23,20,5,3,1.09358589366092,1.65,1.65,1.65,1.8,1.65,1.65,1.76,1.65,1.65,1.95,1.65,1.73,1.68,1.79,1.65,1.65,1.65,1.65,1.65,1.65,1.74882540437486
24,20,5,3,1.68927160639454,2.48,2.48,2.48,2.48,2.48,2.53,2.59,2.48,2.74,2.48,2.48,2.48,2.48,2.48,2.57,2.48,2.48,2.48,2.48,2.48,1.61235111951883
25,20,5,3,1.72417437227757,2.41,2.43,2.41,2.41,2.51,2.41,2.51,2.41,2.48,2.41,2.41,2.41,2.41,2.41,2.41,2.54,2.41,2.41,2.41,2.41,1.7197945127831
26,20,5,3,0.883706767403977,1.47,1.47,1.58,1.72,1.59,1.47,1.47,1.54,1.47,1.6,1.84,1.56,1.47,1.47,1.47,1.53,1.47,1.47,1.47,1.47,1.40718750360598
27,20,5,3,2.95450753630828,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.98,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,2.05038013745662
28,20,5,3,1.14046091851303,1.64,1.64,1.64,1.64,1.64,1.64,1.92,1.64,1.89,1.89,1.64,1.64,1.86,1.64,1.64,1.74,1.64,1.64,1.64,1.64,1.83122252129064
29,20,5,3,0.873290630862913,1.39,1.45,1.57,1.39,1.39,1.59,1.39,1.39,1.42,1.39,1.39,1.65,1.39,1.61,1.9,1.39,1.39,1.39,1.39,1.39,1.48465532392246
30,20,5,3,0.928395589074406,1.4,1.4,1.58,1.4,1.63,1.4,1.49,1.4,1.4,1.4,1.4,1.69,1.4,1.4,1.7,1.43,1.62,1.4,1.4,1.4,1.68754979014417
31,20,5,3,1.98985614104116,2.79,2.79,2.79,2.79,2.79,2.79,2.82,2.79,2.79,3.02,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,1.69718626943635
32,20,5,3,0.713126085034058,1.28,1.26,1.39,1.31,1.23,1.2,1.23,1.2,1.2,1.2,1.2,1.49,1.2,1.57,1.47,1.37,1.2,1.2,1.2,1.2,1.43538009776025
33,20,5,3,0.771376693346833,1.32,1.39,1.5,1.49,1.32,1.32,1.44,1.32,1.35,1.54,1.32,1.32,1.52,1.32,1.32,1.32,1.34,1.32,1.32,1.32,1.41603084560863
34,20,5,3,0.925104198406579,1.49,1.5,1.47,1.47,1.59,1.52,1.47,1.47,1.8,1.47,1.6,1.47,1.83,1.56,1.47,1.47,1.51,1.47,1.47,1.47,1.50986057811706
35,20,5,3,1.25922337545909,1.8,1.8,1.8,1.8,1.8,2,1.8,1.8,1.8,1.8,1.8,1.99,1.8,1.8,1.96,1.93,1.8,1.8,1.8,1.8,1.8209411138415
36,20,5,3,0.806939586906618,1.36,1.36,1.4,1.36,1.55,1.36,1.66,1.36,1.36,1.36,1.56,1.68,1.36,1.81,1.36,1.42,1.36,1.36,1.36,1.36,1.44109009495997
37,20,5,3,1.86985451188293,2.67,2.67,2.67,2.74,2.67,2.67,2.67,2.67,2.67,2.81,2.67,2.67,2.73,2.7,2.86,2.67,2.67,2.67,2.67,2.67,1.67070074530012
38,20,5,3,0.678694243639856,1.15,1.29,1.15,1.45,1.46,1.15,1.15,1.25,1.15,1.15,1.15,1.46,1.51,1.15,1.47,1.34,1.15,1.15,1.16,1.15,1.46389999210305
39,20,5,3,1.30548298219007,1.85,1.85,1.85,1.85,2.03,1.97,1.85,1.92,2.16,1.85,1.85,1.85,1.85,1.85,2.13,1.85,1.85,1.85,1.85,1.85,1.71722442130966
40,20,5,3,0.893534359621892,1.49,1.57,1.48,1.5,1.48,1.49,1.48,1.48,1.48,1.78,1.73,1.48,1.48,1.48,1.62,1.48,1.48,1.48,1.48,1.48,1.62073531097605
41,20,5,3,1.46450255357119,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.64,2.37,2.51,2.37,2.37,2.37,2.37,1.48334905037597
42,20,5,3,1.34871971909392,1.91,1.91,1.91,1.91,1.91,2.32,2.13,1.91,2.3,1.91,1.95,1.91,2.29,1.92,1.91,2.14,1.91,1.91,1.91,1.91,1.72619247970626
43,20,5,3,1.09148827802122,1.68,1.68,1.68,1.68,1.84,1.68,1.68,1.68,1.86,1.68,1.69,1.68,1.8,1.68,1.68,1.68,1.68,1.68,1.78,1.68,1.47825180334337
44,20,5,3,1.01422138869137,1.51,1.68,1.57,1.54,1.53,1.51,1.51,1.8,1.64,1.51,1.51,1.51,1.51,2.01,1.54,1.51,1.51,1.51,1.51,1.51,1.66591031021504
45,20,5,3,1.30192664451193,1.92,1.92,1.99,1.92,1.92,1.92,1.92,1.92,1.92,1.92,2.16,1.92,1.92,1.92,1.99,1.92,1.92,2.2,1.92,1.92,1.65670628751236
46,20,5,3,0.577825536877899,1.17,1,1.16,1.12,1.38,1.24,1.15,1.41,1,1.11,1.25,1.16,1,1.02,1.56,1,1.12,1,1.06,1,1.30425138715786
47,20,5,3,0.706873688265641,1.39,1.55,1.2,1.52,1.2,1.37,1.3,1.2,1.46,1.72,1.2,1.29,1.2,1.64,1.2,1.2,1.49,1.2,1.27,1.2,1.33731835550383
48,20,5,3,1.40576964982613,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,1.87996071615001
49,20,5,3,3.0284095343172,3.94,3.94,3.94,3.94,3.94,3.95,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,2.01365443559511
50,20,5,3,2.25658900678598,2.97,2.97,2.97,2.97,2.97,3.09,2.97,2.99,2.97,2.97,2.97,2.97,3.09,2.97,3.39,2.98,2.97,2.97,2.97,2.97,1.84855342294142
51,20,5,3,0.800369602644112,1.35,1.35,1.35,1.41,1.55,1.35,1.63,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.54,1.35,1.45003954616904
52,20,5,3,1.1891226532175,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.04,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,1.67783815456711
53,20,5,3,0.926305524241929,1.44,1.44,1.4,1.55,1.4,1.4,1.8,1.59,1.4,1.4,1.83,1.6,1.4,1.4,1.48,1.4,1.59,1.78,1.4,1.4,1.63831250460685
54,20,5,3,0.952743898833707,1.48,1.48,1.48,1.48,1.48,1.7,1.79,1.48,1.93,1.48,1.48,1.72,1.55,1.48,1.61,1.48,1.48,1.48,1.48,1.48,1.55024441391127
55,20,5,3,0.857565089324006,1.46,1.46,1.57,1.46,1.64,1.46,1.56,1.77,1.49,1.46,1.57,1.67,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.49270124353039
56,20,5,3,1.27263242069819,1.82,1.8,1.8,1.8,2.1,1.8,2.22,2.15,1.8,1.8,1.88,2.18,1.8,1.8,1.8,2.07,2.16,1.8,1.8,1.8,1.62686587246734
57,20,5,3,0.719003953906623,1.32,1.32,1.44,1.34,1.34,1.44,1.32,1.36,1.32,1.32,1.32,1.37,1.67,1.32,1.37,1.32,1.32,1.36,1.32,1.32,1.36949168169443
58,20,5,3,0.838454847027947,1.4,1.4,1.4,1.4,1.51,1.4,1.4,1.67,1.83,1.4,1.58,1.4,1.56,1.4,1.4,1.4,1.41,1.48,1.4,1.4,1.52821365930119
59,20,5,3,1.23231238353846,1.93,1.81,1.89,1.81,1.81,1.9,1.81,1.85,2.24,2.06,1.81,2,1.81,1.9,1.81,2.31,1.81,1.81,1.81,1.81,1.56393327510449
60,20,5,3,1.77138543833753,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.5,2.48,2.48,2.48,2.48,1.78504611129927
61,20,5,3,1.60220912816232,2.41,2.41,2.41,2.41,2.55,2.41,2.48,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,1.45879596894371
62,20,5,3,1.58769035380505,2.25,2.25,2.25,2.25,2.25,2.32,2.25,2.25,2.25,2.25,2.25,2.25,2.27,2.25,2.61,2.25,2.25,2.25,2.25,2.25,1.83608870417544
63,20,5,3,0.943510818081169,1.51,1.51,1.65,1.51,1.51,1.84,1.57,1.74,1.51,1.51,1.51,1.72,1.51,1.51,1.51,1.51,1.51,1.59,1.51,1.51,1.58329693676898
64,20,5,3,2.71281471808949,3.52,3.52,3.52,3.52,3.52,3.52,3.59,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.59,3.52,3.52,3.52,1.90224706740784
65,20,5,3,2.16489969665504,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.06,2.9,2.9,3.16,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,1.72754599292827
66,20,5,3,0.857268767497423,1.34,1.33,1.33,1.46,1.65,1.33,1.33,1.33,1.55,1.33,1.47,1.53,1.67,1.33,1.41,1.33,1.68,1.33,1.33,1.33,1.46469130441799
67,20,5,3,0.833128941835806,1.64,1.36,1.44,1.72,1.36,1.7,1.36,1.52,1.36,1.36,1.36,1.38,1.36,1.36,1.67,1.74,1.8,1.36,1.36,1.36,1.37266052158467
68,20,5,3,1.15609013376343,1.69,1.69,1.69,1.69,1.79,1.69,1.69,1.69,1.75,1.69,1.81,1.69,1.75,1.69,2.03,1.69,1.69,1.69,1.69,1.69,1.80194241293363
69,20,5,3,1.40919937180523,2.17,2.17,2.17,2.17,2.17,2.18,2.17,2.17,2.17,2.17,2.35,2.17,2.17,2.29,2.49,2.17,2.17,2.17,2.17,2.17,1.56277075269055
70,20,5,3,1.78129687294795,2.53,2.53,2.59,2.56,2.53,2.53,2.53,2.53,2.56,2.53,2.53,2.53,2.76,2.53,2.53,2.53,2.53,2.53,2.53,2.53,1.79553317828197
71,20,5,3,0.981927287624851,1.59,1.66,1.59,1.59,1.59,1.62,1.73,1.59,1.59,1.59,1.68,1.8,1.59,1.59,1.74,1.59,1.59,1.59,1.59,1.59,1.5640466824771
72,20,5,3,1.70937164170806,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.55,2.45,2.45,2.45,2.45,2.45,2.62,2.45,2.45,2.45,2.45,2.45,2.45,1.5887728663846
73,20,5,3,0.676484271301565,1.31,1.13,1.18,1.13,1.35,1.51,1.34,1.13,1.13,1.13,1.6,1.37,1.13,1.44,1.3,1.26,1.13,1.22,1.13,1.13,1.42603740686224
74,20,5,3,1.28647077194592,1.88,1.89,1.97,1.88,1.88,2.05,1.88,1.94,2.07,2.05,1.88,1.88,1.89,1.88,1.88,1.96,1.88,1.88,1.88,1.88,1.85795448305032
75,20,5,3,1.48405495589775,2.02,2.02,2.02,2.02,2.13,2.02,2.02,2.02,2.36,2.02,2.02,2.02,2.02,2.12,2.32,2.02,2.02,2.02,2.02,2.02,1.92447527166341
76,20,5,3,0.742672999906342,1.3,1.36,1.23,1.15,1.29,1.15,1.35,1.15,1.51,1.15,1.15,1.28,1.15,1.44,1.15,1.15,1.15,1.37,1.15,1.15,1.54633520410353
77,20,5,3,1.53532442635398,2.11,2.11,2.11,2.11,2.11,2.11,2.28,2.11,2.14,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.62,2.11,2.11,2.11,1.84415137086423
78,20,5,3,0.998963467085874,1.51,1.51,1.51,1.69,1.72,1.51,1.69,1.51,1.51,1.66,1.62,1.51,1.51,1.51,1.92,1.51,1.51,1.62,1.51,1.51,1.71601530278968
79,20,5,3,0.873773514835404,1.35,1.35,1.35,1.6,1.52,1.35,1.58,1.35,1.35,1.4,1.35,1.62,1.35,1.35,1.39,1.35,1.73,1.35,1.35,1.35,1.62061020082203
80,20,5,3,1.5819110399539,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.37,2.53,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,1.74706007869507
81,20,5,3,0.724801792076626,1.22,1.22,1.22,1.44,1.38,1.22,1.22,1.4,1.45,1.64,1.31,1.22,1.22,1.22,1.22,1.34,1.22,1.22,1.22,1.22,1.4139073825053
82,20,5,3,1.31222550185816,1.98,1.98,1.98,1.98,1.98,2.17,1.98,2.07,1.98,2.01,1.98,1.98,1.98,1.98,1.98,1.98,1.98,2,1.98,1.98,1.56965192268716
83,20,5,3,0.737117295353156,1.27,1.3,1.58,1.35,1.54,1.27,1.67,1.27,1.43,1.38,1.53,1.27,1.27,1.27,1.27,1.44,1.27,1.27,1.27,1.27,1.36119134852426
