"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","surplus"
1,10,5,3,0.834600050487213,1.34,1.34,1.34,1.5,1.34,1.34,1.34,1.54,1.34,1.34,1.47194103367376
2,10,5,3,1.47208689207482,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,1.66588442234634
3,10,5,3,2.82112612160542,3.66,3.66,3.66,3.66,3.66,3.66,3.88,3.66,3.66,3.66,1.9336281933219
4,10,5,3,1.26881928200232,1.81,1.94,1.87,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81071935327924
5,10,5,3,0.802627826743086,1.5,1.44,1.41,1.33,1.33,1.47,1.45,1.33,1.33,1.33,1.44261314043874
6,10,5,3,0.713430701717885,1.35,1.35,1.35,1.64,1.35,1.35,1.64,1.35,1.35,1.35,1.11131057951443
7,10,5,3,1.28173766283079,2.05,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,2.03,1.42974222145012
8,10,5,3,1.1771229785068,1.91,1.95,1.91,1.91,1.91,2.13,1.91,1.91,1.91,1.91,1.45161648182558
9,10,5,3,1.48409033116022,2.51,2.51,2.51,2.51,2.51,2.52,2.51,2.51,2.51,2.51,1.47086475640901
10,10,5,3,1.84530169875427,2.75,2.75,2.85,2.76,2.75,2.75,2.75,2.75,2.75,2.75,1.58363590184917
11,10,5,3,0.798364564270881,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.56,1.5,1.5,1.60912045144402
12,10,5,3,0.785386556244199,1.41,1.17,1.3,1.21,1.58,1.28,1.17,1.17,1.3,1.23,1.4759587812917
13,10,5,3,0.540959076326387,1.09,1.18,1.5,0.95,0.85,1.17,0.88,1.3,0.85,1.14,1.29681296219302
14,10,5,3,0.779062749020208,1.27,1.52,1.64,1.45,1.27,1.27,1.27,1.47,1.58,1.27,1.39518266386787
15,10,5,3,1.03114037966705,1.83,1.83,1.91,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.7063994545308
16,10,5,3,1.45740943613883,2.18,2.18,2.23,2.24,2.18,2.18,2.18,2.18,2.18,2.18,1.5183683221534
17,10,5,3,0.516949801393221,1.12,0.96,1.12,0.96,0.97,0.96,1.2,0.96,0.96,0.96,1.25281371021702
18,10,5,3,0.654944252127089,1.19,1.23,1.13,1.3,1.53,1.13,1.13,1.13,1.13,1.36,1.39724287597174
19,10,5,3,0.75010269197643,1.31,1.47,1.31,1.31,1.31,1.44,1.58,1.31,1.31,1.31,1.33486064813874
20,10,5,3,2.46319930244796,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,3.33,1.91237013675764
21,10,5,3,1.85330463007678,3,3,3,3,3,3,3,3,3,3,1.62889148905911
22,10,5,3,2.89813871120406,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,3.77,1.94822194194555
23,10,5,3,0.520530884027098,1.24,1.1,1.1,1.1,1.1,1.1,1.26,1.1,1.48,1.1,1.18868378526096
24,10,5,3,2.53186333270171,3.34,3.34,3.34,3.55,3.34,3.34,3.34,3.34,3.34,3.34,1.82078398065208
25,10,5,3,1.00425107051696,1.55,1.55,1.66,1.55,1.55,1.55,1.55,2.06,1.55,1.55,1.6932013903644
26,10,5,3,0.615592433469537,1.09,1.09,1.2,1.09,1.37,1.22,1.18,1.09,1.09,1.09,1.31817298119458
27,10,5,3,2.18748884443477,3.09,3.09,3.09,3.09,3.09,3.24,3.09,3.09,3.09,3.09,1.70555216576916
28,10,5,3,1.82130070384214,2.65,2.65,2.65,2.65,2.66,2.65,2.65,2.65,2.65,2.65,1.65349468269115
29,10,5,3,0.830926042132009,1.3,1.62,1.41,1.28,1.25,1.25,1.45,1.25,1.82,1.25,1.48039549865526
30,10,5,3,0.818974968471115,1.31,1.46,1.32,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.56603634012577
31,10,5,3,0.867404613636363,1.47,1.71,1.64,1.47,1.47,1.47,1.95,1.56,1.47,1.47,1.38946338726574
32,10,5,3,1.66415918024514,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,1.53188405443466
33,10,5,3,1.72015062478982,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,1.64925447790721
