Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Cardinality,Consumer Surplus
0,10,3,3,0.5295027799593274,1,1,0,0,0,0,0,0,0,0,2,3.319537490011297
1,10,3,3,0.3301752527686263,1,1,0,0,0,0,0,0,1,0,3,3.1740063316604
2,10,3,3,0.4168647002187277,1,1,1,1,0,1,0,0,0,0,5,3.6960099030286355
3,10,3,3,0.4816356953475471,1,1,0,0,0,0,0,1,0,0,3,2.1114434851191644
4,10,3,3,0.37412942201690247,1,1,1,1,1,0,0,0,0,0,5,2.0594020311278722
5,10,3,3,0.43007320144504824,1,1,1,1,1,0,0,0,0,0,5,3.2151201648699255
6,10,3,3,0.28985132070658376,1,0,0,0,1,0,0,0,0,0,2,1.8514692052942483
7,10,3,3,0.2726480022965758,1,1,1,1,1,1,0,0,0,0,6,3.4000213429158945
8,10,3,3,0.3435748509156836,1,1,1,0,1,0,0,0,0,0,4,2.1343279788152163
9,10,3,3,0.28818158466851584,1,1,1,0,0,0,0,1,0,0,4,2.437812513810632
10,10,3,3,0.2872628220702124,1,1,1,1,1,0,1,1,0,0,7,3.72835168841585
11,10,3,3,0.319255560204476,1,1,1,0,0,0,0,0,0,0,3,2.180612660151378
12,10,3,3,0.2762604054526207,1,1,0,0,1,0,0,0,0,0,3,3.1356788419193857
13,10,3,3,0.361400199497418,1,1,1,0,0,0,0,0,1,0,4,2.555203288452385
14,10,3,3,0.5030194106939471,1,0,0,1,0,0,0,0,1,0,3,2.5783218877929612
15,10,3,3,0.46994631416751,1,1,1,0,0,0,1,0,0,0,4,3.341726233608689
16,10,3,3,0.2957891591048624,1,1,1,1,0,1,0,0,0,0,5,3.333793983562336
17,10,3,3,0.5923427678723338,1,1,0,1,0,0,0,0,0,0,3,2.7520734144653156
18,10,3,3,0.4722284657300192,1,1,1,1,1,0,0,0,0,0,5,2.5472150636651505
19,10,3,3,0.5210746858871411,1,1,1,0,0,0,0,0,1,0,4,2.7797580952383623
20,10,3,3,0.29948682477087585,1,1,1,0,0,0,1,0,0,0,4,3.6149124873680973
21,10,3,3,0.40351057252669204,1,1,1,0,1,0,0,0,0,0,4,3.1116084970950184
22,10,3,3,0.2778304554643936,1,1,1,1,1,1,0,0,0,0,6,2.1088593594039
23,10,3,3,0.37434665607345946,1,1,1,0,1,0,0,0,0,0,4,2.6226856568669303
24,10,3,3,0.26858317002252746,1,1,1,1,1,0,0,0,0,0,5,2.0804805844882144
25,10,3,3,0.4349318673562871,1,1,1,0,0,0,0,0,1,0,4,2.957840692178273
26,10,3,3,0.49623036480173444,1,0,0,0,0,1,0,0,0,0,2,2.699306845656859
27,10,3,3,0.3327968905006585,1,1,1,0,1,0,0,0,0,0,4,2.7485746621964533
28,10,3,3,0.4284027715159702,1,1,0,0,0,0,1,0,0,0,3,2.2529732344267943
29,10,3,3,0.38494689316514624,1,1,1,0,0,0,0,0,0,0,3,1.589563093040771
30,10,3,3,0.4897646593870902,1,0,0,1,0,0,0,0,0,0,2,2.2438848184576723
31,10,3,3,0.5783060727512274,1,1,1,0,0,0,1,0,0,0,4,2.4119169785552375
32,10,3,3,0.28258434159562806,1,1,1,0,1,0,0,0,0,0,4,3.3843353397096165
33,10,3,3,0.5333463031852629,1,1,0,0,1,0,0,0,0,0,3,2.3513570628943237
34,10,3,3,0.22500826621150374,1,1,1,0,0,0,1,0,0,0,4,3.5549555496924388
35,10,3,3,0.2546162971281573,1,1,1,1,1,0,0,0,0,0,5,3.9781907688561606
36,10,3,3,0.42374226726121916,1,1,1,0,0,1,0,0,0,0,4,2.805426602991129
37,10,3,3,0.3553384442842157,1,1,1,0,1,0,0,0,0,0,4,1.5612311602089455
38,10,3,3,0.2736260594312203,1,1,0,1,0,0,0,1,0,0,4,2.1794891092481894
39,10,3,3,0.49187805273367996,1,1,1,1,0,0,0,0,0,0,4,2.3326409238880235
40,10,3,3,0.2521530514657438,1,1,1,1,0,0,0,1,0,0,5,4.086017058279585
41,10,3,3,0.4386356879977898,1,1,1,0,0,0,1,0,0,0,4,1.4297958274138245
42,10,3,3,0.4334418235622297,1,1,1,1,0,1,0,0,0,0,5,3.1177284805400483
43,10,3,3,0.31047993786463185,1,1,1,1,0,0,0,1,0,0,5,3.1799375208935063
44,10,3,3,0.2946654138787451,1,1,1,1,0,0,0,1,1,0,6,3.49233327601741
45,10,3,3,0.4215516561445166,1,1,0,1,0,0,1,0,0,0,4,2.7758278652418884
46,10,3,3,0.2406632623713953,1,1,1,1,1,0,0,0,0,0,5,1.6521109020214586
47,10,3,3,0.25631996865778583,1,1,1,1,1,0,1,0,0,0,6,1.7957754999183129
48,10,3,3,0.5276011633790153,1,1,1,1,0,0,0,0,0,0,4,3.7869358409946052
49,10,3,3,0.40949908309623356,1,1,0,0,1,0,0,0,0,0,3,2.6959726339080823
50,10,3,3,0.37456590739482815,1,1,1,0,0,0,0,0,1,0,4,1.9004787951285942
51,10,3,3,0.47502049231934246,1,1,1,1,0,1,0,0,0,0,5,2.8772951489214766
52,10,3,3,0.2673156545994978,1,1,1,1,0,0,0,0,1,0,5,2.5275866095804247
53,10,3,3,0.4017264882725641,1,1,0,0,0,1,0,0,0,0,3,1.5904516642668933
54,10,3,3,0.267028688005693,1,1,1,1,1,1,1,0,0,0,7,3.1592772813368777
55,10,3,3,0.45681176534280415,1,0,0,1,0,1,0,0,0,0,3,3.061291464430568
56,10,3,3,0.2404488140874557,1,1,1,1,1,0,0,0,1,0,6,1.5896779540790338
57,10,3,3,0.23236694128566115,1,1,1,0,0,1,1,0,0,0,5,1.9564441910771142
58,10,3,3,0.5025534749729158,1,1,1,0,1,0,0,0,0,0,4,2.331194758035055
59,10,3,3,0.5360486732508103,1,1,1,0,0,0,1,0,0,0,4,2.3507160595282106
60,10,3,3,0.42450132003317176,1,1,0,0,1,0,0,1,0,0,4,4.33834934256976
61,10,3,3,0.40954403242476234,1,1,0,1,0,0,0,0,0,0,3,3.0972791903679275
62,10,3,3,0.3072375736549003,1,1,1,0,0,1,0,0,0,0,4,2.1756636344126137
63,10,3,3,0.3604300750318948,1,1,0,1,0,0,0,0,0,0,3,1.2800375635023773
64,10,3,3,0.35980330780482306,1,1,1,0,1,0,0,1,0,0,5,3.6557957297959907
65,10,3,3,0.15511951381408104,1,1,1,1,1,0,0,0,0,0,5,2.043962526176399
66,10,3,3,0.2838820928810523,1,0,0,1,0,0,0,0,0,0,2,2.308106712515192
67,10,3,3,0.5099390971564115,1,1,0,0,0,1,0,0,0,0,3,3.507546269003357
68,10,3,3,0.3588715220534553,1,1,1,1,0,0,0,1,0,0,5,4.8536056346205285
69,10,3,3,0.4314329404040061,1,1,0,0,0,0,0,0,1,0,3,3.0356389967534145
70,10,3,3,0.391434575611355,1,1,1,0,0,0,0,0,1,0,4,2.562043520538958
71,10,3,3,0.3343167834525856,1,1,0,1,0,1,0,0,0,0,4,4.585521961762101
72,10,3,3,0.3985970679108343,1,1,0,1,0,0,0,1,0,0,4,2.734443250486922
73,10,3,3,0.3859007471352995,1,1,1,0,0,0,0,0,1,0,4,2.19223284735144
74,10,3,3,0.3887077159454576,1,0,0,0,1,1,0,0,0,0,3,2.0979416696705915
75,10,3,3,0.24958904672151264,1,1,1,1,1,0,0,0,0,0,5,2.2757906340838976
76,10,3,3,0.31663158830486504,1,1,1,1,0,0,0,0,1,0,5,5.141326595521648
77,10,3,3,0.5834273336298647,1,1,0,0,0,0,0,0,1,0,3,2.4899754932440072
78,10,3,3,0.39791185976732635,1,1,1,0,0,1,0,1,0,0,5,3.4286731016550336
79,10,3,3,0.5878390681646785,1,1,0,0,0,0,1,0,0,0,3,2.414495555427473
80,10,3,3,0.3565488352692726,1,1,0,1,0,0,0,0,0,0,3,2.5640078198169642
81,10,3,3,0.3693440699809468,1,1,1,1,1,0,0,0,1,0,6,2.6015035852851396
82,10,3,3,0.4169215674306654,1,1,1,0,0,0,0,0,1,0,4,2.692959180897326
83,10,3,3,0.4382181064566697,1,1,1,0,0,0,0,1,0,0,4,2.301193576430981
84,10,3,3,0.33643337743283475,1,1,1,0,0,1,0,0,0,0,4,2.485186671449568
85,10,3,3,0.4392593714364144,1,1,1,0,1,0,0,0,0,0,4,2.801837620144126
86,10,3,3,0.3046826020943305,1,1,1,0,0,0,0,1,0,0,4,3.16091752419121
87,10,3,3,0.3154582867922897,1,1,1,0,1,0,0,0,0,0,4,3.669249689596241
88,10,3,3,0.40458448125285096,1,1,1,1,1,0,0,0,0,0,5,3.406183831200877
89,10,3,3,0.2794008239785618,1,1,1,0,0,0,0,0,0,0,3,1.5586182115927976
90,10,3,3,0.369925897848729,1,1,1,1,0,0,0,0,0,0,4,2.699915087551833
91,10,3,3,0.47893656402943496,1,1,1,1,1,0,0,0,0,0,5,2.6509232726592296
92,10,3,3,0.19181187728492183,1,1,1,1,1,0,0,0,0,0,5,2.0660178378189378
93,10,3,3,0.4393515801929164,1,1,1,0,0,0,1,0,0,0,4,2.294752949261264
94,10,3,3,0.42111212538166454,1,1,1,1,1,0,0,0,0,0,5,2.7499500473755716
95,10,3,3,0.47418141797236335,1,0,0,1,0,1,0,0,0,0,3,3.054538191416709
