Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus
0,5,3,3,0.2495097005446608,1,1,1,0,0,3,1.374484150491705
1,5,3,3,0.3108772903061879,1,1,1,1,0,4,1.8292836159730665
2,5,3,3,0.23964773161426448,1,1,1,1,0,4,2.09437750801728
3,5,3,3,0.22411179450958602,1,1,1,0,0,3,1.1281596595528594
4,5,3,3,0.282008369559614,1,1,1,0,0,3,1.2365871994884732
5,5,3,3,0.2770717192028501,1,1,1,0,0,3,2.4072598425831893
6,5,3,3,0.2819758281796094,1,1,1,1,0,4,3.282889078478651
7,5,3,3,0.10373877070636463,1,1,1,1,0,4,2.387685255588585
8,5,3,3,0.2256122694406654,1,1,1,0,0,3,2.164759737859631
9,5,3,3,0.10907875768214077,1,1,1,1,0,4,1.8688687262100627
10,5,3,3,0.14299093923958373,1,1,1,1,0,4,1.8421922896941594
11,5,3,3,0.34418107945574267,1,1,1,1,0,4,3.5691887270131613
12,5,3,3,0.20231574570691055,1,1,1,1,0,4,1.790853285863347
13,5,3,3,0.23575445697653732,1,1,1,1,0,4,2.6337768235154786
14,5,3,3,0.3641314638931936,1,1,1,0,0,3,1.458738067071647
15,5,3,3,0.3877860700993915,1,0,1,0,0,2,1.9572895661529144
16,5,3,3,0.4459952520356729,1,1,1,0,0,3,2.5910756141007174
17,5,3,3,0.45516118726467036,1,1,0,1,0,3,3.1834442935909113
18,5,3,3,0.22872784118168932,1,1,1,0,0,3,1.5429372209364223
19,5,3,3,0.327607964818419,1,1,1,0,0,3,1.7860097697178559
20,5,3,3,0.2866571420141748,1,1,1,0,0,3,2.3056904442037
21,5,3,3,0.26133494753919434,1,1,1,1,0,4,1.9445513196216355
22,5,3,3,0.1564114464414333,1,1,1,0,0,3,0.8951681862602765
23,5,3,3,0.19745769366260696,1,1,1,1,0,4,3.1335439649334456
24,5,3,3,0.2004240852018258,1,1,1,1,0,4,2.4186432853827786
25,5,3,3,0.22763339003964728,1,1,1,1,0,4,3.479101920322416
26,5,3,3,0.2904862003610563,1,1,1,1,0,4,2.2656717060999205
27,5,3,3,0.5071942900695459,1,1,0,1,0,3,2.592171452697979
28,5,3,3,0.10524978754167191,1,1,1,0,0,3,1.6145051338032157
