Instance,N,K,L,Exp Profit,x1,x2,x3,x4,x5,Cardinality,Consumer Surplus
0,5,5,3,0.49911780011689977,1,1,0,1,0,3,5.244041647418128
1,5,5,3,0.43942877069433156,1,0,0,1,0,2,2.718318200872905
2,5,5,3,0.6004563600633848,1,0,0,1,0,2,2.2948553334331883
3,5,5,3,0.26754461258299395,1,0,1,0,0,2,4.159310704239596
4,5,5,3,0.2786980988249782,1,1,0,0,0,2,1.018211678992222
5,5,5,3,0.18693930352626734,1,1,1,0,0,3,1.6970125792531408
6,5,5,3,0.24884154500386918,1,1,1,0,0,3,2.9254955655511434
7,5,5,3,0.4426486256473713,1,1,0,0,0,2,2.7009149098042817
8,5,5,3,0.2422920699985528,1,1,1,0,0,3,2.80497350659194
9,5,5,3,0.2111106159168138,1,1,1,0,0,3,2.7774587209401562
10,5,5,3,0.152745434665581,1,1,0,0,0,2,1.4335314086812294
11,5,5,3,0.07701188542824274,1,1,1,1,0,4,3.389354257736417
12,5,5,3,0.24552062622290863,1,1,1,0,0,3,4.143844760543332
13,5,5,3,0.5188005713284656,1,0,0,1,0,2,1.740328678128274
14,5,5,3,0.2990132187020803,1,1,0,1,0,3,5.670829828922467
15,5,5,3,0.38782897702939484,1,1,1,1,0,4,2.3313827353077015
16,5,5,3,0.19192075321260202,1,1,0,1,0,3,0.9864911546453431
17,5,5,3,0.45646947714977837,1,0,1,0,0,2,2.51960582304343
18,5,5,3,0.516239708011772,1,1,1,0,0,3,5.351528046061983
19,5,5,3,0.20592861187753891,1,1,1,1,0,4,2.0259675792967546
20,5,5,3,0.3191048347619922,1,1,0,1,0,3,5.122232196096617
21,5,5,3,0.1770375713415731,1,1,1,0,0,3,0.9258804226790953
22,5,5,3,0.34446105164651425,1,1,1,1,0,4,3.4012304927876196
23,5,5,3,0.4255485687284968,1,1,1,0,0,3,1.9725182374063284
24,5,5,3,0.246890364748065,1,1,0,1,0,3,3.3606247043288544
25,5,5,3,0.2733839129762222,1,1,1,1,0,4,2.1628615107902487
26,5,5,3,0.28831257544489053,1,1,1,0,0,3,3.321689633063883
27,5,5,3,0.7344448631964156,1,1,0,0,0,2,3.946918006598211
28,5,5,3,0.2487741380513998,1,1,1,0,0,3,2.712308158758335
29,5,5,3,0.257965233924172,1,1,1,0,0,3,2.455719403630845
30,5,5,3,0.1560093215758625,1,1,0,1,0,3,1.6105999052822737
31,5,5,3,0.31318231887945636,1,1,1,1,0,4,3.3818976198052
32,5,5,3,0.11725014535205122,1,1,0,1,0,3,2.333504516428026
33,5,5,3,0.21803386043115694,1,1,1,0,0,3,2.6854862869498586
34,5,5,3,0.29615623375442945,1,1,1,0,0,3,1.7840304129468558
35,5,5,3,0.49341308855818883,1,1,1,0,0,3,5.548122015389158
36,5,5,3,0.3355292721131916,1,0,0,1,0,2,1.29770916353067
37,5,5,3,0.2951984504075476,1,1,1,1,0,4,2.932659820910052
38,5,5,3,0.2551030296037136,1,1,1,0,0,3,1.9045661565318892
39,5,5,3,0.27071144229312705,1,1,0,1,0,3,3.6533751521538025
40,5,5,3,0.3052628693634451,1,1,1,1,0,4,3.6720448555960643
41,5,5,3,0.6529335983440977,1,0,0,1,0,2,2.3165551780186773
42,5,5,3,0.22622217241986498,1,1,1,1,0,4,1.978254947662249
43,5,5,3,0.19427087498245726,1,1,0,1,0,3,1.1956072189084261
