id,alt,choice,price,theta1,theta2,theta3,theta4,theta5
0,0,0,0,0,0,0,0,0
0,16,0,0.9526315789473684,0.0,0.5,0.5,0.0,0.5
0,9,0,0.1473684210526316,0.5,0.0,1.0,0.5,0.0
0,10,0,0.6210526315789474,1.0,0.5,1.0,0.5,0.0
0,19,0,0.24210526315789474,0.5,0.5,0.5,0.0,0.5
0,18,0,0.4789473684210527,1.0,0.5,1.0,1.0,0.0
0,13,0,0.5263157894736842,1.0,1.0,0.0,0.0,0.0
0,20,0,0.8578947368421053,1.0,1.0,0.5,0.5,1.0
0,7,0,1.0,0.0,0.5,0.5,0.0,0.5
0,4,0,0.4789473684210527,0.0,1.0,0.0,0.0,0.0
0,17,0,0.6210526315789474,0.5,0.5,0.0,0.0,0.0
0,12,0,0.1473684210526316,0.0,1.0,0.0,0.5,0.0
0,5,0,0.19473684210526315,0.5,0.5,1.0,0.5,1.0
0,1,1,0.1473684210526316,0.0,0.5,0.5,0.5,1.0
0,11,0,0.1,1.0,0.5,0.5,1.0,1.0
1,0,0,0,0,0,0,0,0
1,10,1,0.2894736842105263,0.5,1.0,1.0,0.0,0.5
1,17,0,0.38421052631578945,1.0,1.0,0.0,0.5,0.0
1,16,0,0.7157894736842105,1.0,0.5,0.5,1.0,1.0
2,0,0,0,0,0,0,0,0
2,19,0,0.6684210526315789,0.0,1.0,1.0,1.0,0.0
2,1,0,0.5736842105263158,0.0,0.0,0.0,0.0,0.5
2,20,0,0.5263157894736842,0.5,0.5,0.5,0.5,0.5
2,13,1,0.4789473684210527,0.5,1.0,0.0,1.0,0.5
2,6,0,0.7631578947368421,1.0,0.0,0.0,1.0,0.0
2,17,0,0.1473684210526316,0.0,0.0,1.0,1.0,0.5
2,16,0,0.6210526315789474,0.0,0.5,1.0,0.0,1.0
2,11,0,0.8105263157894737,0.0,0.0,1.0,0.5,1.0
2,12,0,0.1,0.5,1.0,0.5,0.0,1.0
2,10,0,0.24210526315789474,1.0,1.0,0.0,0.5,0.5
2,14,0,0.6684210526315789,0.5,0.5,0.5,1.0,0.0
2,3,0,0.5263157894736842,1.0,0.0,1.0,0.5,0.5
2,2,0,0.6684210526315789,1.0,0.5,1.0,0.5,0.0
2,15,0,0.6210526315789474,0.0,0.0,1.0,0.0,0.5
2,4,0,0.5736842105263158,1.0,1.0,0.5,0.5,1.0
2,7,0,0.1473684210526316,0.5,0.5,0.5,0.5,1.0
3,0,0,0,0,0,0,0,0
3,5,0,0.8578947368421053,0.5,1.0,1.0,1.0,0.5
3,4,0,1.0,1.0,0.5,0.0,0.0,0.0
3,9,0,0.33684210526315794,0.5,0.5,0.5,0.0,0.5
3,14,0,0.7631578947368421,0.5,0.5,0.5,0.5,0.0
3,19,0,0.1,0.0,0.5,0.5,1.0,1.0
3,11,1,0.1473684210526316,0.5,1.0,0.5,0.5,1.0
3,12,0,0.6684210526315789,0.5,0.5,0.0,0.0,1.0
3,18,0,0.6684210526315789,0.5,0.0,0.0,1.0,0.0
3,13,0,0.1,0.5,0.0,0.5,0.5,0.5
3,20,0,1.0,0.5,0.5,0.0,0.5,0.5
