"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","p_11","p_12","p_13","p_14","p_15","p_16","p_17","p_18","p_19","p_20","surplus"
1,20,5,3,1.47734603421801,2.21,2.21,2.36,2.21,2.41,2.21,2.21,2.21,2.52,2.21,2.21,2.21,2.21,2.21,2.21,2.54,2.21,2.21,2.21,2.21,1.48877140822325
2,20,5,3,1.55864509317143,2.14,2.29,2.15,2.1,2.1,2.1,2.31,2.1,2.43,2.1,2.1,2.35,2.1,2.1,2.16,2.11,2.1,2.1,2.1,2.1,1.97770091713975
3,20,5,3,1.62643336742839,2.38,2.4,2.38,2.49,2.38,2.56,2.38,2.38,2.38,2.38,2.38,2.38,2.51,2.56,2.38,2.38,2.38,2.38,2.38,2.38,1.67956446389111
4,20,5,3,1.3126579879193,2.03,1.93,2.03,1.94,1.93,2.27,2.41,1.93,2.02,2.22,2.23,1.93,2.08,2.23,1.95,2,1.93,2.06,1.93,1.93,1.50080149349683
5,20,5,3,1.00695626350546,1.6,1.7,1.65,1.6,1.6,1.62,1.6,1.6,1.6,1.69,1.6,1.68,1.87,1.6,2.13,1.68,1.6,1.6,1.6,1.6,1.46342500464157
6,20,5,3,0.899232334499231,1.44,1.35,1.47,1.59,1.35,1.73,1.51,1.35,1.4,1.35,1.35,1.62,1.35,1.35,1.65,1.56,1.35,1.35,1.35,1.35,1.64948839371448
7,20,5,3,1.25346481063421,1.84,1.84,1.85,1.84,2.01,1.84,1.84,1.84,1.89,1.95,1.84,2.09,1.84,1.84,1.93,1.84,1.84,1.84,1.84,1.84,1.81990708276817
8,20,5,3,1.12388337875236,1.7,1.72,1.8,1.7,1.77,1.7,1.71,1.7,1.91,1.7,1.7,1.7,1.82,2.11,1.7,1.7,1.74,1.7,1.7,1.7,1.57578271014415
9,20,5,3,1.2151326095592,1.83,2.01,2.1,1.95,1.83,1.83,1.83,1.83,1.83,2.16,2.32,1.83,1.83,2.16,2.02,1.83,1.94,1.83,1.83,1.92,1.64135211252826
10,20,5,3,1.1096869009191,1.75,1.74,1.57,1.61,1.67,1.57,1.69,1.92,1.57,1.7,1.63,1.68,1.57,1.57,1.57,1.65,2.08,1.57,1.57,1.57,1.71594838214357
11,20,5,3,0.957221692635644,1.43,1.43,1.43,1.55,1.69,1.63,1.43,1.51,1.43,1.91,1.53,1.43,1.44,1.48,1.77,1.43,1.43,1.43,1.43,1.43,1.61242594126381
12,20,5,3,1.5192279991328,2.11,2.09,2.09,2.35,2.09,2.35,2.09,2.4,2.09,2.09,2.09,2.12,2.62,2.35,2.14,2.34,2.09,2.09,2.09,2.09,1.85243246101445
13,20,5,3,1.61486720887233,2.34,2.38,2.49,2.19,2.58,2.19,2.37,2.25,2.45,2.19,2.19,2.53,2.4,2.19,2.19,2.39,2.27,2.19,2.19,2.19,1.83330902568994
14,20,5,3,0.78297340367864,1.24,1.51,1.21,1.19,1.18,1.32,1.18,1.58,1.22,1.37,1.58,1.68,1.83,1.18,1.8,1.19,1.18,1.38,1.18,1.18,1.43393978146953
15,20,5,3,1.28206932476033,1.74,1.74,1.75,1.96,1.93,1.74,2.01,1.77,1.93,1.74,1.74,1.79,1.74,1.74,1.74,1.86,2.07,1.74,1.74,1.95,1.86638653440413
16,20,5,3,0.762319484552574,1.29,1.29,1.25,1.18,1.28,1.44,1.59,1.35,1.66,1.33,1.18,1.18,1.36,1.18,1.35,1.18,1.18,1.35,1.18,1.18,1.53509247721602
17,20,5,3,1.54154492321073,2.24,2.14,2.27,2.14,2.22,2.3,2.14,2.14,2.16,2.14,2.31,2.14,2.42,2.14,2.14,2.14,2.17,2.14,2.14,2.14,1.81061818697177
18,20,5,3,1.38891385977713,1.95,1.95,1.96,1.94,1.93,1.96,1.93,1.93,1.93,1.93,2.24,1.96,1.93,2.23,1.93,2.53,2.01,1.93,1.93,1.93,1.7952727811205
19,20,5,3,1.08830539461156,1.54,1.5,1.5,1.84,1.81,1.82,1.5,1.53,1.84,2.07,1.5,1.62,1.92,1.51,1.86,1.5,1.5,1.5,1.62,1.5,1.77732801905284
20,20,5,3,1.31883025881701,2.11,2.06,1.9,1.9,1.9,2.04,2.02,2.22,2.2,2.16,2.4,2.45,1.9,1.9,1.9,1.99,1.94,1.9,1.9,1.9,1.49104473144204
21,20,5,3,0.826572177124744,1.42,1.36,1.36,1.36,1.49,1.58,1.36,1.39,1.36,1.6,1.36,1.36,1.42,1.81,1.36,1.63,1.36,1.36,1.36,1.36,1.41953323934911
22,20,5,3,1.45921258112257,2.17,2.17,2.17,2.17,2.17,2.25,2.36,2.17,2.31,2.17,2.17,2.18,2.17,2.19,2.17,2.17,2.17,2.17,2.17,2.17,1.57935387578218
23,20,5,3,1.01495609317956,1.52,1.73,1.73,1.52,1.52,1.52,1.75,1.78,1.6,1.52,2.11,1.83,1.52,1.58,1.52,1.68,1.52,1.52,1.53,1.52,1.53387913522023
24,20,5,3,1.65130678071551,2.22,2.33,2.22,2.56,2.33,2.22,2.22,2.43,2.22,2.76,2.64,2.41,2.22,2.22,2.22,2.45,2.22,2.22,2.22,2.22,1.73810752672273
25,20,5,3,0.939325266337638,1.51,1.53,1.43,1.51,1.66,1.43,1.59,1.55,1.84,1.43,1.43,1.48,1.43,1.82,1.43,1.43,1.63,1.43,1.43,1.43,1.56705716647009
26,20,5,3,1.64204391370183,2.13,2.27,2.43,2.26,2.41,2.13,2.56,2.41,2.65,2.13,2.23,2.29,2.64,2.13,2.2,2.14,2.13,2.14,2.13,2.13,1.88806830019911
27,20,5,3,2.2164211104626,3.09,3.14,3.09,3.09,3.09,3.17,3.39,3.09,3.09,3.09,3.47,3.1,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,1.70658018459848
28,20,5,3,1.17576608951509,1.68,1.68,1.68,1.68,1.68,1.97,2.12,1.68,1.84,1.99,1.68,2.11,1.68,2.07,1.68,1.84,1.68,1.68,1.68,1.68,1.73411466484943
29,20,5,3,1.99176920300577,2.89,2.94,2.89,2.89,2.89,2.89,2.89,2.97,2.89,2.89,3.01,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,1.62241008741204
30,20,5,3,1.86559142185041,2.53,2.53,2.67,2.53,2.53,2.56,2.71,2.9,3.03,2.53,2.57,2.62,2.98,2.53,2.53,2.6,2.53,2.53,2.53,2.53,1.75272963548305
31,20,5,3,1.63854959622549,2.15,2.23,2.36,2.15,2.15,2.26,2.22,2.61,2.33,2.56,2.17,2.69,2.15,2.15,2.15,2.28,2.15,2.19,2.15,2.15,1.7999590756804
32,20,5,3,0.606722603295895,1.03,1.21,1.03,1.16,1.21,1.12,1.36,1.03,1.11,1.52,1.51,1.14,1.62,1.04,1.03,1.03,1.03,1.06,1.03,1.03,1.32497515216105
33,20,5,3,1.6452999595164,2.19,2.19,2.19,2.57,2.56,2.19,2.19,2.19,2.19,2.19,2.47,2.66,2.24,2.19,2.63,2.39,2.73,2.2,2.19,2.19,1.83373167183329
34,20,5,3,1.15960104352754,1.86,2.07,1.86,1.98,2.07,2.01,1.86,1.86,1.86,1.86,1.86,1.94,2.19,1.86,2.04,1.86,1.86,1.86,1.86,1.86,1.38727496200138
35,20,5,3,1.64601200252585,2.24,2.14,2.26,2.22,2.14,2.23,2.14,2.24,2.34,2.6,2.14,2.14,2.26,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.00137889392087
36,20,5,3,2.95549288851131,3.9,3.9,3.9,3.99,3.9,3.9,3.9,3.9,3.9,3.9,3.99,3.9,4.17,3.9,3.9,3.9,3.9,3.9,3.9,3.9,1.95848500289844
