"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","surplus"
1,10,3,3,0.540999300559319,1.46,1.19,1.4,1.04,1.6,1.32,1.06,1.28,0.99,0.99,1.0209013997838
2,10,3,3,0.962470508014549,1.77,1.56,1.66,1.48,1.47,2.03,1.47,1.74,1.47,1.52,1.41877943437915
3,10,3,3,1.03564929175054,1.66,1.68,1.67,1.54,1.54,1.96,1.54,1.78,1.54,1.54,1.50631332908586
4,10,3,3,0.330639573825687,1.13,1,0.74,0.69,0.88,1.28,1.2,1.03,0.69,0.69,0.931741734108907
5,10,3,3,0.423219032138556,1.01,0.99,0.95,0.86,1.36,1.13,0.89,0.86,0.86,0.86,1.0345738167508
6,10,3,3,0.788562529394022,1.68,1.62,1.62,1.62,1.62,1.78,1.63,1.62,1.62,1.62,1.25702682445254
7,10,3,3,0.415777918363137,0.87,0.87,1.25,1.02,0.87,0.87,1.41,0.87,0.91,0.87,0.960612030217485
8,10,3,3,1.02989591581097,1.72,1.91,1.72,1.86,1.72,1.72,2.1,1.72,1.72,1.72,1.25198402921233
9,10,3,3,1.51684769137125,2.31,2.31,2.31,2.51,2.31,2.48,2.39,2.31,2.31,2.31,1.49199737783676
10,10,3,3,0.820391202594325,1.46,1.65,1.46,1.46,1.46,1.65,1.95,1.46,1.46,1.46,1.14110673067059
11,10,3,3,0.584652751013041,1.08,1.09,1.03,1.03,1.33,1.03,1.03,1.29,1.03,1.03,1.31498172856572
12,10,3,3,0.37821085849111,0.78,0.95,0.78,1.16,1.11,1.36,0.97,0.78,0.78,0.82,1.04181867202505
13,10,3,3,0.899321509988398,1.58,1.58,1.74,1.58,1.62,1.58,1.58,1.71,1.58,1.58,1.21278657901039
14,10,3,3,1.61746669776444,2.43,2.5,2.43,2.43,2.43,2.43,2.43,2.43,2.43,2.43,1.5250343136819
15,10,3,3,0.622996600838433,1.17,1.32,1.14,1.07,1.51,1.03,1.14,0.98,1.45,0.98,1.26926116520872
16,10,3,3,0.626111889095296,1.23,1.46,1.18,1.29,1.15,1.15,1.15,1.21,1.15,1.15,1.27798990073121
17,10,3,3,1.03115810082379,1.79,2.07,1.92,1.64,1.64,1.99,1.89,1.85,1.64,1.64,1.24269781811436
18,10,3,3,0.806106000761769,1.65,1.51,1.65,1.46,1.58,1.46,1.46,1.66,1.46,1.46,1.16173452545783
19,10,3,3,0.654098889906166,1.39,1.3,1.43,1.54,1.3,1.39,1.3,1.3,1.3,1.3,1.03818990866357
20,10,3,3,0.56151464851859,1.21,1.14,1.45,1.11,1.11,1.49,1.11,1.3,1.11,1.11,1.06095395872698
21,10,3,3,0.997103114375519,1.74,1.9,1.84,1.74,1.74,1.74,1.74,1.74,1.74,1.74,1.47255901221674
22,10,3,3,0.290402056527038,0.82,0.65,0.63,0.83,1.27,1.01,1.24,0.69,0.63,0.63,0.88331750825724
23,10,3,3,0.677198709801309,1.33,1.28,1.29,1.42,1.68,1.28,1.28,1.37,1.28,1.28,1.11254117512663
24,10,3,3,0.464447212329468,1.25,0.87,1.07,0.9,1.4,0.85,1.28,1.09,0.83,0.83,1.11911089157272
25,10,3,3,0.542220076096029,1.1,1.16,1.44,1.2,1.62,1.19,1.17,1.07,1.04,1.04,0.90876798861163
26,10,3,3,0.504137137444814,0.93,1.23,1.18,0.92,0.92,1.52,1.25,0.92,0.92,0.92,1.01221733619731
27,10,3,3,0.510031373368111,0.99,0.94,0.94,1.11,1.37,0.94,0.99,0.94,0.95,0.94,1.18794137353774
