"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","p_6","p_7","p_8","p_9","p_10","surplus"
1,10,5,3,1.70273315012928,2.53,2.53,2.53,2.6,2.53,2.53,2.53,2.53,2.54,2.53,1.78984496231853
2,10,5,3,0.847114185827084,1.35,1.5,1.42,1.35,1.81,1.5,1.39,1.35,1.35,1.35,1.47384111914245
3,10,5,3,1.2087497409273,1.92,1.81,2,1.86,1.81,2.03,1.81,1.81,1.81,1.81,1.48130734815411
4,10,5,3,1.13760216091838,1.88,1.79,1.73,1.73,1.73,1.81,2.25,1.73,1.73,1.75,1.41279460209548
5,10,5,3,2.04447569694549,2.82,2.82,2.82,2.97,2.82,2.82,2.82,3.29,2.82,2.82,1.80573019018977
6,10,5,3,0.526249762288396,1.32,1.01,0.93,1.21,0.96,0.91,1.5,1.44,0.91,0.91,1.19414891770052
7,10,5,3,2.41438369311244,3.32,3.32,3.46,3.32,3.42,3.32,3.32,3.32,3.32,3.32,1.82773721888517
8,10,5,3,0.938972792163432,1.6,1.72,1.6,1.75,1.6,1.6,1.6,1.7,1.6,1.6,1.4547958553884
9,10,5,3,1.74646997318841,2.56,2.56,2.56,2.56,2.56,2.56,2.8,2.56,2.73,2.56,1.6400084304106
10,10,5,3,0.850650804277718,1.34,1.33,1.33,1.8,1.47,1.33,1.33,1.33,1.49,1.33,1.50789046563555
11,10,5,3,0.964859412409637,1.59,1.59,1.81,1.59,1.62,1.59,1.59,1.59,1.59,1.59,1.33250199014478
12,10,5,3,1.04139271901503,1.57,1.57,1.81,1.62,1.57,1.78,1.57,1.57,1.57,1.57,1.60210300608473
13,10,5,3,2.30875293630006,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,3.43,1.76500973558168
14,10,5,3,0.641106959857713,1.12,1.46,1.38,1.31,1.6,1.12,1.21,1.12,1.12,1.12,1.40080624419971
15,10,5,3,1.66917854500909,2.2,2.32,2.2,2.2,2.2,2.68,2.2,2.2,2.37,2.2,1.82965805816803
16,10,5,3,0.76389148360948,1.47,1.3,1.52,1.38,1.3,1.39,1.29,1.39,1.31,1.29,1.2857481395853
17,10,5,3,0.935635574886963,1.4,1.4,1.91,1.83,1.56,1.7,1.41,1.4,1.41,1.4,1.56506395696686
18,10,5,3,0.785944704020303,1.46,1.51,1.44,1.8,1.58,1.44,1.44,1.44,1.44,1.44,1.22385691480657
19,10,5,3,2.21993579918697,2.96,2.96,2.96,2.96,2.96,2.96,3.24,2.96,2.96,2.96,1.74487909568017
20,10,5,3,1.74377813450965,2.39,2.72,2.58,2.68,2.39,2.49,2.39,2.49,2.39,2.39,1.74236804898927
21,10,5,3,1.79775429173158,2.4,2.4,2.4,2.81,2.62,3.04,2.4,2.4,2.57,2.4,1.75440601660277
22,10,5,3,1.4621005545657,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,1.81540384342789
23,10,5,3,1.29955208649521,2.16,2.26,2.16,2.16,2.19,2.16,2.16,2.16,2.16,2.16,1.50383293720781
24,10,5,3,1.13835875271226,1.73,1.69,1.67,2.23,1.67,2.09,2.21,1.67,1.67,1.67,1.46983636602116
25,10,5,3,1.77980546055758,2.58,2.58,2.58,2.58,2.85,2.58,2.72,2.58,2.58,2.58,1.66747317066007
26,10,5,3,0.743162235680056,1.48,1.27,1.36,1.27,1.27,1.27,1.27,1.83,1.27,1.27,1.21635269530962
27,10,5,3,1.1062360034623,1.82,2.08,2.35,1.82,1.88,1.82,2.21,2.03,1.82,1.82,1.25343138667229
28,10,5,3,1.17532253582616,1.75,1.75,1.75,1.75,1.78,1.75,1.75,2.31,1.75,1.75,1.46387288862069
29,10,5,3,1.35105752909725,2.06,2.06,2.24,2.09,2.41,2.06,2.06,2.06,2.06,2.06,1.63054233344734
30,10,5,3,0.793286576776941,1.41,1.41,1.41,1.41,1.41,1.45,1.41,1.41,1.76,1.41,1.26038304850729
31,10,5,3,1.09365897020237,1.58,1.81,1.58,1.58,1.58,1.86,1.97,1.8,1.58,1.58,1.74886466250098
32,10,5,3,1.72559385350505,2.32,2.59,2.37,2.32,2.8,2.41,2.54,2.32,2.32,2.32,1.80244310221755
33,10,5,3,0.606933313195809,1.07,1.51,1.07,1.19,1.59,1.5,1.41,1.15,1.07,1.07,1.22203241804961
34,10,5,3,0.519003715426259,1.33,1.15,1.25,0.88,1.16,1.13,0.86,1.02,0.93,0.86,1.14331322183353
35,10,5,3,1.2145874226595,1.9,1.71,1.66,1.66,2.19,1.66,1.66,1.95,1.87,1.66,1.71975363227871
36,10,5,3,2.40484840629527,3.22,3.22,3.24,3.44,3.22,3.22,3.22,3.22,3.22,3.22,1.84712426631151
37,10,5,3,0.77487362669317,1.49,1.7,1.4,1.52,1.38,1.34,1.34,1.34,1.34,1.34,1.2514782430853
38,10,5,3,1.37415362015165,2.19,2.3,2.02,1.96,1.96,1.96,2.37,2.11,1.96,1.96,1.62525548644812
39,10,5,3,1.3592375174127,2.08,2.08,2.4,2.33,2.08,2.1,2.08,2.65,2.08,2.08,1.31819992628459
40,10,5,3,0.844237906876985,1.37,1.34,1.42,1.72,1.34,1.82,1.34,1.48,1.38,1.34,1.44926801641666
41,10,5,3,0.521634318178793,1.04,1.14,0.98,1.38,0.95,1.59,1.2,1.02,0.95,0.95,1.1986219157978
42,10,5,3,1.14178129545386,1.66,1.66,1.71,1.71,2.23,1.66,1.66,1.66,2.02,1.66,1.64209287757192
43,10,5,3,1.97293143378114,2.79,2.69,2.67,2.67,2.67,2.67,3.1,2.67,2.67,2.67,1.66401080740277
44,10,5,3,1.05425616914506,1.57,1.72,1.57,2,1.57,1.98,1.69,1.57,1.67,1.57,1.67090184178615
45,10,5,3,1.43966441515548,1.88,2.15,1.88,1.88,1.88,2.1,2.45,1.88,1.88,1.88,1.87039649139091
46,10,5,3,2.35744578402057,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,1.76141395737005
47,10,5,3,1.30835295521113,2.07,2.07,2.13,2.07,2.47,2.07,2.07,2.07,2.07,2.07,1.54921488810031
