"Instance","N","K","L","Exp Profit","p_1","p_2","p_3","p_4","p_5","surplus"
1,5,3,3,0.443187361592763,1.09,1.09,1.09,1.09,1.09,0.752015937438759
2,5,3,3,0.222426446391254,0.73,1.03,0.62,0.52,0.52,0.737056327530726
3,5,3,3,0.587474452248126,1.32,1.32,1.32,1.41,1.32,0.896545731044694
4,5,3,3,0.649278769090373,1.48,1.71,1.5,1.37,1.37,0.939816344703228
5,5,3,3,0.395967740153725,1.11,1.18,1.11,1.11,1.11,0.771174038100186
6,5,3,3,0.764240667061899,1.5,1.5,1.66,1.5,1.5,0.998468675321706
7,5,3,3,0.301071603451546,1.12,1.39,0.96,0.85,0.85,0.809514672492977
8,5,3,3,0.182040725166412,0.57,1.14,0.96,0.51,0.46,0.621841232351969
9,5,3,3,0.519102876146189,1.21,1.11,1.61,1.1,1.1,0.905009545941256
10,5,3,3,0.303706329274437,1.12,0.97,0.8,0.75,0.75,0.757418698786282
11,5,3,3,0.801697801937464,1.51,1.76,1.41,1.53,1.41,1.27541518801816
12,5,3,3,0.323089541899299,0.81,0.84,1.37,0.74,0.74,0.855957476832808
13,5,3,3,0.286120467454067,0.86,0.93,0.86,0.86,0.86,0.745372809820144
14,5,3,3,0.726817940752089,1.64,1.63,1.51,1.51,1.51,1.08695475416455
15,5,3,3,0.355284816729221,1.21,1.05,0.77,1.09,0.77,0.845446454732658
16,5,3,3,0.251250839320032,0.74,1.11,0.71,0.71,0.71,0.776552618546781
17,5,3,3,0.483973850006961,1.04,1.04,1.04,1.19,1.04,1.03682211789144
18,5,3,3,0.35072834340824,1.13,0.95,1.25,0.88,0.75,0.83413715764267
19,5,3,3,0.29604093405632,1.2,0.65,1.01,1.23,0.6,0.771293122728427
20,5,3,3,0.46072959370511,1.14,1.14,1.58,1.14,1.14,0.793594759126329
21,5,3,3,0.315078554039186,0.78,0.65,0.87,1.15,0.65,0.913904814933045
22,5,3,3,0.705599535897622,1.57,1.57,1.57,1.57,1.57,0.980530785915582
23,5,3,3,0.653965298801531,1.46,1.42,1.42,1.42,1.42,1.06102326424382
24,5,3,3,0.21842696703187,0.82,0.79,0.68,0.65,0.64,0.697125105268535
25,5,3,3,0.788866116149383,1.65,1.65,1.86,1.65,1.65,0.971813070820306
26,5,3,3,0.471600851073953,1.36,1,1.22,1,1,0.974647241741537
27,5,3,3,0.368945306000934,1.24,1.16,1.16,1.16,1.16,0.816423709972373
